schema_version,run_id,round,method,physical_client_id,virtual_client_id,num_examples,num_batches,local_epochs,batch_size,train_loss,task_loss,prior_loss,regularization_loss,accuracy_local_train_estimate,loss_local_train_estimate,update_l2_norm,update_linf_norm,update_cosine_to_global,drift_from_global_before_l2,drift_from_global_after_l2,label_entropy,kl_to_global_label_distribution,vi_elbo_loss,vi_kl_loss,vi_likelihood_loss,vi_complexity_cost,vi_loc_l2,vi_scale_mean,vi_scale_p50,vi_scale_p90,vi_scale_max,vi_snr_raw_mean,vi_snr_raw_p50,vi_snr_raw_p90,ola_task_loss,ola_prior_loss,ola_fisher_mean,ola_fisher_p50,ola_fisher_p90,ola_fisher_max,ola_precision_mean,ola_precision_p50,ola_precision_p90,ola_sigma_mean,ola_sigma_p50,ola_sigma_p90,ola_snr_raw_mean,ola_snr_raw_p50,ola_snr_raw_p90,channel_snr_db,pathloss_db,rate_mbps,delay_ms,energy_j,ota_contribution_norm,digital_payload_bytes,communication_success,num_examples_seen,num_examples_train
bayesfl_observability_v1,smoke_fedavg_mnist,1,fedavg,11,2,4,1,1,32,2.377599000930786,2.377599000930786,0.0,0.0,0.0,2.377599000930786,0.22281219145203351,0.014440987259149551,0.9989973406179461,0.22281219145203351,,1.3862943611198906,0.939276547692685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4
bayesfl_observability_v1,smoke_fedavg_mnist,1,fedavg,14,2,274,9,1,32,0.880083701906413,0.880083701906413,0.0,0.0,0.7846715328467153,0.880083701906413,0.7035107813482915,0.09770362079143524,0.9902707767671907,0.7035107813482915,,0.9046127705927123,1.4102412850023194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,274.0,274
bayesfl_observability_v1,smoke_fedavg_mnist,1,fedavg,27,5,4806,151,1,32,0.2704314510793399,0.2704314510793399,0.0,0.0,0.9255097794423637,0.2704314510793399,1.9073058265552947,0.1893448829650879,0.9372280797398436,1.9073058265552947,,1.2530575555136367,1.083640527519532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4806.0,4806
bayesfl_observability_v1,smoke_fedavg_mnist,1,fedavg,15,3,342,11,1,32,1.2616733134838574,1.2616733134838574,0.0,0.0,0.6081871345029239,1.2616733134838574,0.8314435291927902,0.08693964779376984,0.9865165243170588,0.8314435291927902,,1.2985927805091027,1.0543347356550556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342.0,342
bayesfl_observability_v1,smoke_fedavg_mnist,1,fedavg,21,4,1152,36,1,32,0.6155505499078168,0.6155505499078168,0.0,0.0,0.8428819444444444,0.6155505499078168,1.4049640390937572,0.13550375401973724,0.9636955707580532,1.4049640390937572,,1.5249506784896467,0.7610772411746858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1152.0,1152
bayesfl_observability_v1,smoke_fedavg_mnist,1,fedavg,24,4,270,9,1,32,1.2486801942189534,1.2486801942189534,0.0,0.0,0.6518518518518519,1.2486801942189534,0.6299672451261759,0.08123588562011719,0.9921183192167712,0.6299672451261759,,0.957950800540371,1.4191188247520772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270.0,270
bayesfl_observability_v1,smoke_fedavg_mnist,2,fedavg,27,5,4806,151,1,32,0.1241670100873354,0.1241670100873354,0.0,0.0,0.9702455264253017,0.1241670100873354,0.7094535541751282,0.07310153543949127,0.9924624338553065,0.7094535541751282,,1.2530575555136367,1.083640527519532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4806.0,4806
bayesfl_observability_v1,smoke_fedavg_mnist,2,fedavg,8,1,472,15,1,32,1.1566926311638395,1.1566926311638395,0.0,0.0,0.684322033898305,1.1566926311638395,0.9521373475576448,0.1290193349123001,0.9840813197958894,0.9521373475576448,,1.6089164906125724,0.6965551597414836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,472.0,472
bayesfl_observability_v1,smoke_fedavg_mnist,2,fedavg,22,4,1863,59,1,32,0.24585686139742405,0.24585686139742405,0.0,0.0,0.9323671497584541,0.24585686139742405,0.9044108497555439,0.12381117045879364,0.9864389496872681,0.9044108497555439,,1.2522514030270893,1.0373959216845188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1863.0,1863
bayesfl_observability_v1,smoke_fedavg_mnist,2,fedavg,4,0,330,11,1,32,0.7548189293254506,0.7548189293254506,0.0,0.0,0.806060606060606,0.7548189293254506,0.8693168183341342,0.10357315093278885,0.9866551525101409,0.8693168183341342,,0.898369570558716,1.4095410508742412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330.0,330
