label,method,model,metric,round,accuracy_percent,run_dir
FedAvg — BasicCNN,FedAvg,BasicCNN,accuracy,36,64.71000000000001,outputs/run_paperenv_fedavg_cifar10_a0p1_basiccnn_lr001_e10_r300_20260907_103853
FedAvg — BasicCNN,FedAvg,BasicCNN,accuracy,37,66.39,outputs/run_paperenv_fedavg_cifar10_a0p1_basiccnn_lr001_e10_r300_20260907_103853
FedAvg — BasicCNN,FedAvg,BasicCNN,accuracy,38,66.34,outputs/run_paperenv_fedavg_cifar10_a0p1_basiccnn_lr001_e10_r300_20260907_103853
FedAvg — BasicCNN,FedAvg,BasicCNN,accuracy,39,65.8,outputs/run_paperenv_fedavg_cifar10_a0p1_basiccnn_lr001_e10_r300_20260907_103853
FedAvg — BasicCNN,FedAvg,BasicCNN,accuracy,40,67.44,outputs/run_paperenv_fedavg_cifar10_a0p1_basiccnn_lr001_e10_r300_20260907_103853
FedAvg — BasicCNN,FedAvg,BasicCNN,accuracy,41,66.55,outputs/run_paperenv_fedavg_cifar10_a0p1_basiccnn_lr001_e10_r300_20260907_103853
FedAvg — BasicCNN,FedAvg,BasicCNN,accuracy,42,66.71000000000001,outputs/run_paperenv_fedavg_cifar10_a0p1_basiccnn_lr001_e10_r300_20260907_103853
FedAvg — BasicCNN,FedAvg,BasicCNN,accuracy,43,67.16,outputs/run_paperenv_fedavg_cifar10_a0p1_basiccnn_lr001_e10_r300_20260907_103853
FedAvg — BasicCNN,FedAvg,BasicCNN,accuracy,44,67.51,outputs/run_paperenv_fedavg_cifar10_a0p1_basiccnn_lr001_e10_r300_20260907_103853
FedAvg — BasicCNN,FedAvg,BasicCNN,accuracy,45,67.07,outputs/run_paperenv_fedavg_cifar10_a0p1_basiccnn_lr001_e10_r300_20260907_103853
FedAvg — BasicCNN,FedAvg,BasicCNN,accuracy,46,67.86999999999999,outputs/run_paperenv_fedavg_cifar10_a0p1_basiccnn_lr001_e10_r300_20260907_103853
FedAvg — BasicCNN,FedAvg,BasicCNN,accuracy,47,68.38,outputs/run_paperenv_fedavg_cifar10_a0p1_basiccnn_lr001_e10_r300_20260907_103853
FedAvg — BasicCNN,FedAvg,BasicCNN,accuracy,48,67.63,outputs/run_paperenv_fedavg_cifar10_a0p1_basiccnn_lr001_e10_r300_20260907_103853
FedAvg — BasicCNN,FedAvg,BasicCNN,accuracy,49,68.32000000000001,outputs/run_paperenv_fedavg_cifar10_a0p1_basiccnn_lr001_e10_r300_20260907_103853
FedAvg — BasicCNN,FedAvg,BasicCNN,accuracy,50,68.52000000000001,outputs/run_paperenv_fedavg_cifar10_a0p1_basiccnn_lr001_e10_r300_20260907_103853
FedAvg — BasicCNN,FedAvg,BasicCNN,accuracy,51,68.51,outputs/run_paperenv_fedavg_cifar10_a0p1_basiccnn_lr001_e10_r300_20260907_103853
FedAvg — BasicCNN,FedAvg,BasicCNN,accuracy,52,68.96,outputs/run_paperenv_fedavg_cifar10_a0p1_basiccnn_lr001_e10_r300_20260907_103853
FedAvg — BasicCNN,FedAvg,BasicCNN,accuracy,53,69.33,outputs/run_paperenv_fedavg_cifar10_a0p1_basiccnn_lr001_e10_r300_20260907_103853
FedAvg — BasicCNN,FedAvg,BasicCNN,accuracy,54,68.89,outputs/run_paperenv_fedavg_cifar10_a0p1_basiccnn_lr001_e10_r300_20260907_103853
FedAvg — BasicCNN,FedAvg,BasicCNN,accuracy,55,69.08999999999999,outputs/run_paperenv_fedavg_cifar10_a0p1_basiccnn_lr001_e10_r300_20260907_103853
FedAvg — BasicCNN,FedAvg,BasicCNN,accuracy,56,69.26,outputs/run_paperenv_fedavg_cifar10_a0p1_basiccnn_lr001_e10_r300_20260907_103853
FedAvg — BasicCNN,FedAvg,BasicCNN,accuracy,57,69.02000000000001,outputs/run_paperenv_fedavg_cifar10_a0p1_basiccnn_lr001_e10_r300_20260907_103853
FedAvg — BasicCNN,FedAvg,BasicCNN,accuracy,58,69.28999999999999,outputs/run_paperenv_fedavg_cifar10_a0p1_basiccnn_lr001_e10_r300_20260907_103853
FedAvg — BasicCNN,FedAvg,BasicCNN,accuracy,59,69.41000000000001,outputs/run_paperenv_fedavg_cifar10_a0p1_basiccnn_lr001_e10_r300_20260907_103853
FedAvg — BasicCNN,FedAvg,BasicCNN,accuracy,60,69.27,outputs/run_paperenv_fedavg_cifar10_a0p1_basiccnn_lr001_e10_r300_20260907_103853
FedAvg — BasicCNN,FedAvg,BasicCNN,accuracy,61,69.67,outputs/run_paperenv_fedavg_cifar10_a0p1_basiccnn_lr001_e10_r300_20260907_103853
FedAvg — BasicCNN,FedAvg,BasicCNN,accuracy,62,69.8,outputs/run_paperenv_fedavg_cifar10_a0p1_basiccnn_lr001_e10_r300_20260907_103853
FedAvg — BasicCNN,FedAvg,BasicCNN,accuracy,63,70.11,outputs/run_paperenv_fedavg_cifar10_a0p1_basiccnn_lr001_e10_r300_20260907_103853
FedAvg — BasicCNN,FedAvg,BasicCNN,accuracy,64,70.19999999999999,outputs/run_paperenv_fedavg_cifar10_a0p1_basiccnn_lr001_e10_r300_20260907_103853
FedAvg — BasicCNN,FedAvg,BasicCNN,accuracy,65,70.33,outputs/run_paperenv_fedavg_cifar10_a0p1_basiccnn_lr001_e10_r300_20260907_103853
FedAvg — BasicCNN,FedAvg,BasicCNN,accuracy,66,70.39999999999999,outputs/run_paperenv_fedavg_cifar10_a0p1_basiccnn_lr001_e10_r300_20260907_103853
FedAvg — BasicCNN,FedAvg,BasicCNN,accuracy,67,70.98,outputs/run_paperenv_fedavg_cifar10_a0p1_basiccnn_lr001_e10_r300_20260907_103853
