schema_version,run_id,round,method,aggregation_mode,num_results_received,num_failures,total_selected_examples,aggregation_weight_entropy,aggregation_weight_min,aggregation_weight_max,global_before_l2,global_after_l2,aggregation_delta_l2,aggregation_delta_linf,aggregation_delta_cosine,client_update_l2_mean,client_update_l2_std,client_update_l2_min,client_update_l2_max,client_update_cosine_mean,client_update_cosine_std,pairwise_update_cosine_mean,pairwise_update_cosine_std,update_conflict_fraction,fedavg_equivalent_delta_l2,bayes_product_delta_l2,bayes_vs_fedavg_delta_l2,aggregation_energy_before,aggregation_energy_after,aggregation_error_proxy
bayesfl_observability_v1,ola_lr0p005_b128_e1,1,ola,ola,24,0,2363,1.711209525962528,0.00042319085907744394,0.3381294964028777,6.786648565740691,6.7877801184539495,0.05093886216087325,0.008054381236433983,0.9999718504796997,0.05179779534411593,0.029515462019628822,0.020267269955418114,0.12608474473930498,0.9999614381593458,4.514868938479837e-05,,,,,0.05093886216087325,,,,
bayesfl_observability_v1,ola_lr0p005_b128_e1,2,ola,ola,24,0,2180,1.7045020586286277,0.0009174311926605505,0.4389908256880734,6.7877801184539495,6.788558495784545,0.06567631786782675,0.007994778454303741,0.9999532026501097,0.0441196345856225,0.02711134008437163,0.01804933115416738,0.12959139047827156,0.9999709081798093,4.3128267207688496e-05,,,,,0.06567631786782675,,,,
bayesfl_observability_v1,ola_lr0p005_b128_e1,3,ola,ola,24,0,2209,1.9545763137175336,0.0009053870529651426,0.35083748302399276,6.788558495784545,6.7890981566834565,0.03304560330579235,0.004783531650900841,0.9999881561777008,0.04807643389881213,0.027206603783117095,0.015047296510007224,0.09965673782419733,0.999966904328089,3.5824185714560586e-05,,,,,0.03304560330579235,,,,
bayesfl_observability_v1,ola_lr0p005_b128_e1,4,ola,ola,24,0,2335,1.6919175055918882,0.0021413276231263384,0.44839400428265525,6.7890981566834565,6.790536794844374,0.06940523810888825,0.007478209212422371,0.9999477782200488,0.0497034293863898,0.028129164557600145,0.019581292343915434,0.13334777419828225,0.999964640511472,4.7605058717429616e-05,,,,,0.06940523810888825,,,,
bayesfl_observability_v1,ola_lr0p005_b128_e1,5,ola,ola,24,0,1743,2.1249588647527267,0.0005737234652897303,0.24440619621342513,6.790536794844374,6.791304910510602,0.02593358464153775,0.002110963687300682,0.9999927145461146,0.04492152529002604,0.01785136528452852,0.02330122228754014,0.07881766297585249,0.999974675445376,1.9184266859581987e-05,,,,,0.02593358464153775,,,,
bayesfl_observability_v1,ola_lr0p005_b128_e1,6,ola,ola,24,0,2411,1.8490103545040277,0.0008295313148071339,0.334301119867275,6.791304910510602,6.792343427935381,0.045029239900831554,0.007289668777957559,0.9999780337812727,0.05052338720890539,0.02883002206585204,0.0227094990882272,0.1364304807472702,0.9999633395095058,4.7992772154681534e-05,,,,,0.045029239900831554,,,,
bayesfl_observability_v1,ola_lr0p005_b128_e1,7,ola,ola,24,0,2366,1.4109014015181773,0.00042265426880811494,0.41335587489433645,6.792343427935381,6.793801044365231,0.07008653805639396,0.007894828915596008,0.9999467991128905,0.0619527952392579,0.04152545543261216,0.021578391158225203,0.17393669832045286,0.9999397528944548,8.457857500400779e-05,,,,,0.07008653805639396,,,,
bayesfl_observability_v1,ola_lr0p005_b128_e1,8,ola,ola,24,0,2075,1.781093334836338,0.0019277108433734939,0.4130120481927711,6.793801044365231,6.794791186332763,0.0653108778360463,0.0072332024574279785,0.9999538095409888,0.046822718571783314,0.03366747501751579,0.01551475364697961,0.15363229868373476,0.9999639932750959,6.17995934833499e-05,,,,,0.0653108778360463,,,,
bayesfl_observability_v1,ola_lr0p005_b128_e1,9,ola,ola,24,0,1581,1.8773831910452832,0.0018975332068311196,0.2567994939911448,6.794791186332763,6.795885418468588,0.027843024620264785,0.0026117227971553802,0.9999916187386926,0.047133575734914585,0.022814363123738742,0.01934561780274486,0.08826503954591705,0.9999703194416615,2.6533644928533536e-05,,,,,0.027843024620264785,,,,
bayesfl_observability_v1,ola_lr0p005_b128_e1,10,ola,ola,24,0,2556,2.1466275087525006,0.000782472613458529,0.18896713615023475,6.795885418468588,6.796760023377998,0.03922205146628019,0.0054926276206970215,0.9999833556580429,0.05692211803172921,0.02912997749220005,0.025264022199406058,0.1277654580703428,0.9999557532419023,4.570420647885054e-05,,,,,0.03922205146628019,,,,
