run_id,round,logical_round,physical_round,phase,client_id,num_examples,distance_m,train_loss,phase1_loss,phase2_loss,local_steps,local_precision_mean,local_precision_min,local_precision_max,local_precision_delta_l2,local_precision_delta_max_abs,local_precision_changed_fraction,local_precision_gradient_l2_mean,local_precision_gradient_max_abs,local_nu_l2,local_implied_mean_l2
fig5_power_3dbm_proposed_rep00_seed2025,1,1,1,precision,0,12,15.515846861202073,3.1373692790667214,3.1373692790667214,0.0,6,400.0000004613426,399.9996537183012,400.00038540893075,0.003528630344567109,0.00038540893081062677,1.0,0.014220518401282876,0.0024753896460374116,0.0,0.0
fig5_power_3dbm_proposed_rep00_seed2025,1,1,1,precision,1,14,115.21714582567645,3.872856226421538,3.872856226421538,0.0,6,400.0000008366614,399.999413585457,400.0003774642125,0.005186118495251926,0.0005864145429654855,1.0,0.02087778525687689,0.0022078427045023165,0.0,0.0
fig5_power_3dbm_proposed_rep00_seed2025,1,1,1,precision,2,8,145.46847123647032,5.244056089719137,5.244056089719137,0.0,3,400.0000004098755,399.9997924733314,400.0001887266515,0.0026833221285344076,0.00020752666853240953,1.0,0.015490110458515513,0.0015657883449183212,0.0,0.0
fig5_power_3dbm_proposed_rep00_seed2025,1,1,1,precision,3,12,71.99775189006189,3.6655740446514553,3.6655740446514553,0.0,6,400.000000619778,399.99962645276224,400.0004335287966,0.004602807637593372,0.0004335287966341639,1.0,0.018375983717276386,0.0025504096010130024,0.0,0.0
fig5_power_3dbm_proposed_rep00_seed2025,1,1,1,precision,4,9,138.3951326144958,3.6312095076949507,3.6312095076949507,0.0,3,400.00000023591815,399.99980554931716,400.00023962372774,0.0024778750397192553,0.00023962372779351426,1.0,0.014127671524471646,0.0015549654858590589,0.0,0.0
fig5_power_3dbm_proposed_rep00_seed2025,1,1,1,precision,5,10,168.85680085025976,2.809843732515971,2.809843732515971,0.0,3,400.0000002715988,399.99976401086644,400.0002386943454,0.0026151615533022863,0.00023869434545531476,1.0,0.015009671301725912,0.0018508223060016145,0.0,0.0
fig5_power_3dbm_proposed_rep00_seed2025,1,1,1,precision,6,7,182.40375510728745,4.060625857398623,4.060625857398623,0.0,3,400.0000002326348,399.999822228539,400.00019380759625,0.0020139420691200655,0.00019380759630394095,1.0,0.011523692382370304,0.0014639538874058045,0.0,0.0
fig5_power_3dbm_proposed_rep00_seed2025,1,1,1,precision,7,9,105.40127870194036,6.139393785264757,6.139393785264757,0.0,3,400.0000004760315,399.99974533388115,400.0002319633265,0.00288745630975155,0.00025466611879210177,1.0,0.01677632819888993,0.0015971225528908408,0.0,0.0
fig5_power_3dbm_proposed_rep00_seed2025,1,1,1,precision,8,9,57.04335895729468,4.05816240310669,4.05816240310669,0.0,3,400.0000002944246,399.99972531135427,400.0001920153093,0.0023455785432637214,0.0002746886456748143,1.0,0.013689613864947674,0.0014600562669303471,0.0,0.0
fig5_power_3dbm_proposed_rep00_seed2025,1,1,1,precision,9,15,21.428583832024906,3.844772455427382,3.844772455427382,0.0,6,400.00000086029905,399.99945554642295,400.00055004567497,0.005677407484427393,0.0005500456750269223,1.0,0.022432468967770004,0.003055816262199761,0.0,0.0
fig5_power_3dbm_proposed_rep00_seed2025,1,1,1,precision,10,9,75.7029911927046,4.139183595445421,4.139183595445421,0.0,3,400.00000029038694,399.9998312979741,400.0001526959908,0.0023908458330185313,0.0001687020258600569,1.0,0.013946549811900695,0.0017551629771517772,0.0,0.0
fig5_power_3dbm_proposed_rep00_seed2025,1,1,1,precision,11,7,161.42047636721563,4.154169736589704,4.154169736589704,0.0,3,400.0000002319706,399.999844673182,400.00022730972535,0.0020607805875472534,0.00022730972540330185,1.0,0.011750995966785834,0.001675693605149701,0.0,0.0
fig5_power_3dbm_proposed_rep00_seed2025,1,1,1,precision,12,6,177.35252134800837,2.5563340809610153,2.5563340809610153,0.0,3,400.00000013007883,399.99988377724475,400.0001465826175,0.0015129732181015975,0.00014658261756039792,1.0,0.008699105538459484,0.0008646254705729639,0.0,0.0
fig5_power_3dbm_proposed_rep00_seed2025,1,1,1,precision,13,7,168.68677480944623,3.976353318350656,3.976353318350656,0.0,3,400.0000002354978,399.9998615790052,400.00012418598897,0.0018972523332235574,0.00013842099474459246,1.0,0.011047602811873239,0.001094701009889881,0.0,0.0
fig5_power_3dbm_proposed_rep00_seed2025,1,1,1,precision,14,10,83.8575398584633,2.7323631127675374,2.7323631127675374,0.0,3,400.000000247985,399.9997887525724,400.0002274213576,0.0026178229159834255,0.00022742135763564875,1.0,0.014901310856565061,0.0020663473407384154,0.0,0.0
fig5_power_3dbm_proposed_rep00_seed2025,1,1,1,precision,15,9,173.59188910935526,5.0690429122359655,5.0690429122359655,0.0,3,400.000000323111,399.9998076970052,400.0001915605122,0.0028244129906733273,0.00019230299471928447,1.0,0.01632205378091407,0.0017796230641028926,0.0,0.0
fig5_power_3dbm_proposed_rep00_seed2025,1,1,1,precision,16,7,84.99246032160212,4.440877483004615,4.440877483004615,0.0,3,400.0000002710798,399.99983560800774,400.00016294522334,0.0020316151450836483,0.00016439199220030787,1.0,0.0115930761440384,0.0012046545146342479,0.0,0.0
fig5_power_3dbm_proposed_rep00_seed2025,1,1,1,precision,17,8,104.36491700770118,3.784882481892904,3.784882481892904,0.0,3,400.0000002366093,399.9998241405387,400.00017785165977,0.002098024928058475,0.00017785165982786566,1.0,0.012100788938041195,0.0015170150767574323,0.0,0.0
