rank,run_label,status,method,vi_lr,batch_size,local_epochs,client_fraction,num_rounds,final_round,final_global_accuracy,final_global_loss,final_global_ece,final_global_nll,final_local_accuracy_weighted,final_posterior_sigma_mean,final_posterior_snr_raw_p50,output_dir
37,vi_lr0p0005_b128_e1,ok,vi,0.0005,128,1,0.05,60,60,0.4432,1.8535837717056274,0.2328262563459575,1.8535837717056274,0.7556681762360745,0.05164620924905386,0.3485943953190387,outputs/tune_vi_mnist_noniid_unbalanced/vi_lr0p0005_b128_e1
38,vi_lr0p0005_b32_e1,ok,vi,0.0005,32,1,0.05,60,60,0.4367,1.8299213148117066,0.212431465420872,1.8299213148117066,0.768561343815747,0.05350820211294833,0.3368685748489699,outputs/tune_vi_mnist_noniid_unbalanced/vi_lr0p0005_b32_e1
39,vi_lr0p0005_b16_e1,ok,vi,0.0005,16,1,0.05,60,60,0.4354,1.8364077505111693,0.21182569328993564,1.8364077505111693,0.7906879635785355,0.054715995292444766,0.33107242056738084,outputs/tune_vi_mnist_noniid_unbalanced/vi_lr0p0005_b16_e1
40,vi_lr0p0005_b64_e1,ok,vi,0.0005,64,1,0.05,60,60,0.4264,1.8463244701385497,0.20610426428839565,1.8463244701385497,0.7601087821539317,0.052465531711218705,0.34320115070224755,outputs/tune_vi_mnist_noniid_unbalanced/vi_lr0p0005_b64_e1
41,vi_lr0p0002_b16_e2,ok,vi,0.0002,16,2,0.05,60,60,0.3895,1.9240478370666505,0.1841124417833984,1.9240478370666505,0.710106154265526,0.052400592618935864,0.3440269215596538,outputs/tune_vi_mnist_noniid_unbalanced/vi_lr0p0002_b16_e2
42,vi_lr0p0002_b32_e2,ok,vi,0.0002,32,2,0.05,60,60,0.388,1.9192360389709473,0.181913772700727,1.9192360389709473,0.7415095210209949,0.05188897015270473,0.3467571817362386,outputs/tune_vi_mnist_noniid_unbalanced/vi_lr0p0002_b32_e2
43,vi_lr0p0002_b128_e2,ok,vi,0.0002,128,2,0.05,60,60,0.3869,1.9336350311279298,0.1888331060007214,1.9336350311279298,0.7289989085991548,0.05101948586717457,0.3531807213957827,outputs/tune_vi_mnist_noniid_unbalanced/vi_lr0p0002_b128_e2
44,vi_lr0p0002_b64_e2,ok,vi,0.0002,64,2,0.05,60,60,0.3754,1.9339734352111817,0.1700088535711169,1.9339734352111817,0.7334851268627537,0.05141898379139064,0.34954257402019806,outputs/tune_vi_mnist_noniid_unbalanced/vi_lr0p0002_b64_e2
45,vi_lr0p0002_b16_e1,ok,vi,0.0002,16,1,0.05,60,60,0.2541,2.102850626373291,0.0693161227323115,2.102850626373291,0.594081369216183,0.05186556732829104,0.3464940999108196,outputs/tune_vi_mnist_noniid_unbalanced/vi_lr0p0002_b16_e1
46,vi_lr0p0002_b32_e1,ok,vi,0.0002,32,1,0.05,60,60,0.2471,2.1141663536071778,0.06422585155293345,2.1141663536071778,0.580610751267708,0.05138627554567188,0.3500195953418572,outputs/tune_vi_mnist_noniid_unbalanced/vi_lr0p0002_b32_e1
47,vi_lr0p0002_b128_e1,ok,vi,0.0002,128,1,0.05,60,60,0.2449,2.120195218658447,0.06616606250405312,2.120195218658447,0.5945667331533063,0.05065358833113254,0.3550625469015557,outputs/tune_vi_mnist_noniid_unbalanced/vi_lr0p0002_b128_e1
48,vi_lr0p0002_b64_e1,ok,vi,0.0002,64,1,0.05,60,60,0.2404,2.1251327507019044,0.058099118702113615,2.1251327507019044,0.589344592954099,0.0509762049076748,0.35334726155813695,outputs/tune_vi_mnist_noniid_unbalanced/vi_lr0p0002_b64_e1
