schema_version,run_id,round,method,scope,physical_client_id,virtual_client_id,layer_name,param_name,num_params,mu_mean,mu_std,mu_abs_mean,mu_abs_p50,mu_abs_p90,mu_l2,sigma_mean,sigma_std,sigma_min,sigma_p10,sigma_p50,sigma_p90,sigma_p95,sigma_max,variance_mean,variance_sum,precision_mean,precision_std,precision_min,precision_p50,precision_p90,precision_max,snr_raw_mean,snr_raw_std,snr_raw_p10,snr_raw_p50,snr_raw_p75,snr_raw_p90,snr_raw_p95,snr_db_mean,snr_db_std,snr_db_p50,snr_db_p90,snr_frac_lt_1,snr_frac_lt_2,snr_frac_gt_1,snr_frac_gt_2,effective_params_snr_gt_1,effective_params_snr_gt_2,sigma_p25,sigma_p75,precision_p10,precision_p25,precision_p75,precision_p95,snr_raw_min,snr_raw_p25,snr_raw_max,snr_db_min,snr_db_p10,snr_db_p25,snr_db_p75,snr_db_p95,snr_db_max
bayesfl_observability_v1,ola_sparse_bayesian_kl_keep005_seed42,0,ola,global,,,all,all,101770,7.458042091457173e-05,0.021273687481880188,0.018205730244517326,0.017950959503650665,0.03239535689353943,6.786648565740691,31.62277603149414,0.0,31.62277603149414,31.62277603149414,31.62277603149414,31.62277603149414,31.62277603149414,31.62277603149414,999.9999639380404,101769996.32997437,0.0010000000474974513,0.0,0.0010000000474974513,0.0010000000474974513,0.0010000000474974513,0.0010000000474974513,0.0005757157520826684,0.00034803274564569847,0.00011451828079231363,0.0005676591924052512,0.0008548905859870497,0.0010244311524476798,0.0010817929067760954,-67.51927055677713,8.744584516226562,-64.91824648490194,-59.790344457999716,1.0,1.0,0.0,0.0,0,0,31.62277603149414,31.62277603149414,0.0010000000474974513,0.0010000000474974513,0.0010000000474974513,0.0010000000474974513,9.558955557331169e-09,0.00028670423529538716,0.0027948071925459578,-160.39088253366356,-78.82250353420538,-70.85131779908295,-61.36178929749728,-59.317117402728265,-51.07296295173951
bayesfl_observability_v1,ola_sparse_bayesian_kl_keep005_seed42,0,ola,global,,,layers.0.weight,layers.0.weight,100352,7.121538510546088e-05,0.02063717506825924,0.017878415063023567,0.017816731706261635,0.03215851560235024,6.537561905004954,31.62277603149414,0.0,31.62277603149414,31.62277603149414,31.62277603149414,31.62277603149414,31.62277603149414,31.62277603149414,999.9999639380403,100351996.38111022,0.0010000000474974513,0.0,0.0010000000474974513,0.0010000000474974513,0.0010000000474974513,0.0010000000474974513,0.0005653651077702911,0.0003259759284786632,0.00011363537202097954,0.0005634145366781467,0.0008485116305623513,0.0010169415730713054,0.0010731595327797033,-67.61785268077949,8.701165523735998,-64.98343902402223,-59.85407995408771,1.0,1.0,0.0,0.0,0,0,31.62277603149414,31.62277603149414,0.0010000000474974513,0.0010000000474974513,0.0010000000474974513,0.0010000000474974513,9.558955557331169e-09,0.0002844860885829934,0.0011293800017138339,-160.39088253366356,-78.88972916315862,-70.91877928614313,-61.426843998247236,-59.38671423751255,-58.943198126704274
bayesfl_observability_v1,ola_sparse_bayesian_kl_keep005_seed42,0,ola,global,,,layers.0.bias,layers.0.bias,128,-0.000523235707078129,0.020830050110816956,0.01762477122247219,0.018720826134085655,0.03292828351259232,0.23573945249703368,31.62277603149414,0.0,31.62277603149414,31.62277603149414,31.62277603149414,31.62277603149414,31.62277603149414,31.62277603149414,999.9999639380403,127999.99538406916,0.0010000000474974513,0.0,0.0010000000474974513,0.0010000000474974513,0.0010000000474974513,0.0010000000474974513,0.0005573442259232314,0.0003514714653015574,5.592036133973284e-05,0.0005920045133115572,0.000861482310206417,0.0010412837721709485,0.001092353607633443,-68.75201692618396,10.559356929316321,-64.55385147851983,-59.64862808619581,1.0,1.0,0.0,0.0,0,0,31.62277603149414,31.62277603149414,0.0010000000474974513,0.0010000000474974513,0.0010000000474974513,0.0010000000474974513,1.7123994225709006e-06,0.00024193312850773443,0.0011276191849520273,-115.32789347332795,-85.10254340399608,-72.3279104552395,-61.29510714583817,-59.232819954354156,-58.95675086810148
bayesfl_observability_v1,ola_sparse_bayesian_kl_keep005_seed42,0,ola,global,,,layers.1.weight,layers.1.weight,1280,0.0004751242813654244,0.05031140521168709,0.043717630207538605,0.04466675966978073,0.07775529325008393,1.8000757545785542,31.62277603149414,0.0,31.62277603149414,31.62277603149414,31.62277603149414,31.62277603149414,31.62277603149414,31.62277603149414,999.9999639380403,1279999.9538406916,0.0010000000474974513,0.0,0.0010000000474974513,0.0010000000474974513,0.0010000000474974513,0.0010000000474974513,0.0013824729716433828,0.0007875478640695205,0.0003013081352166718,0.0014124869880270555,0.002044609367545297,0.0024588383123810027,0.0026096110896327894,-59.74427932916137,8.409797794410915,-57.00031815633225,-52.185400609934575,1.0,1.0,0.0,0.0,0,0,31.62277603149414,31.62277603149414,0.0010000000474974513,0.0010000000474974513,0.0010000000474974513,0.0010000000474974513,2.4256966967205423e-06,0.0006970875737583032,0.0027948071925459578,-112.30326648345925,-70.41978329771172,-63.13425323620115,-53.78779312787675,-51.668484212381735,-51.07296295173951
bayesfl_observability_v1,ola_sparse_bayesian_kl_keep005_seed42,0,ola,global,,,layers.1.bias,layers.1.bias,10,-0.009774142876267433,0.04699142649769783,0.04480103403329849,0.04450853541493416,0.05939694866538047,0.15178037229179525,31.62277603149414,0.0,31.62277603149414,31.62277603149414,31.62277603149414,31.62277603149414,31.62277603149414,31.62277603149414,999.9999639380403,9999.999639380403,0.0010000000474974513,0.0,0.0010000000474974513,0.0010000000474974513,0.0010000000474974513,0.0010000000474974513,0.001416732986720045,0.0005446061592744853,0.000747648486997458,0.0014074834976728567,0.0015001847513455497,0.0018782964723344738,0.0022844162475242707,-57.64766337461593,3.536836784508804,-57.034032852158234,-54.59749885807553,1.0,1.0,0.0,0.0,0,0,31.62277603149414,31.62277603149414,0.0010000000474974513,0.0010000000474974513,0.0010000000474974513,0.0010000000474974513,0.0005650736885663706,0.0012486864698065892,0.0026905360227140692,-64.95789826891205,-62.55995382374337,-58.08138734053368,-56.478339726412045,-53.000361316929784,-51.403223775784035
bayesfl_observability_v1,ola_sparse_bayesian_kl_keep005_seed42,5,ola,global,,,all,all,101770,0.0004488646809477359,0.021591028198599815,0.018331782892346382,0.017977247014641762,0.03250270821154118,6.889331069977428,25.36621987173081,7.54037698364664,1.3143690824508667,13.458920097351074,31.62277603149414,31.62277603149414,31.62277603149414,31.62277603149414,700.302395636499,71269774.8039265,0.002495375982794063,0.004885353562719377,0.0010000000474974513,0.0010000000474974513,0.0055205146316438915,0.5788490772247314,0.0008619877955798037,0.001155836054857324,0.00014156191624249115,0.0007093077235112949,0.0010607754384326855,0.0016321645994935659,0.0021143588470571456,-65.0672636911045,9.406193640376964,-62.98330621172293,-55.744720913412806,1.0,1.0,0.0,0.0,0,0,18.50923490524292,31.62277603149414,0.0010000000474974513,0.0010000000474974513,0.0029189259512349963,0.00681715803220868,9.558955557331169e-09,0.00035617934161099587,0.0917185948372593,-160.39088253366356,-76.98107128263584,-68.96662543975215,-59.487530884446,-53.496426053818546,-20.750852148764523
bayesfl_observability_v1,ola_sparse_bayesian_kl_keep005_seed42,5,ola,global,,,layers.0.weight,layers.0.weight,100352,0.0003473468532320112,0.02072167955338955,0.017937200143933296,0.017842566594481468,0.0322270791977644,6.565215603131183,25.550982469075112,7.3809849908121095,5.535528659820557,13.607031059265136,31.62277603149414,31.62277603149414,31.62277603149414,31.62277603149414,707.3316445695773,70982145.19584621,0.002266399766772431,0.002074397784959597,0.0010000000474974513,0.0010000000474974513,0.005400988599285484,0.03263486176729202,0.0007928695892988109,0.0005981815122548847,0.00014008855147602562,0.0007014405355609002,0.0010496070176915148,0.0015706953164321537,0.002006179776295667,-65.27662988118065,9.20519985085189,-63.08018279412105,-56.0781610197367,1.0,1.0,0.0,0.0,0,0,18.90538787841797,31.62277603149414,0.0010000000474974513,0.0010000000474974513,0.002797878347337246,0.006478632311336695,9.558955557331169e-09,0.0003526120112715839,0.00596838762513758,-160.39088253366356,-77.07194704543262,-69.05405793783783,-59.579465476987046,-53.95260303360042,-44.482859573892085
bayesfl_observability_v1,ola_sparse_bayesian_kl_keep005_seed42,5,ola,global,,,layers.0.bias,layers.0.bias,128,0.0012079075677320361,0.020889462903141975,0.017589742317795753,0.01770541537553072,0.03354906104505062,0.2367320712597966,19.73376377671957,5.892164981098709,12.321393013000488,13.663597297668456,18.08688449859619,31.62277603149414,31.62277603149414,31.62277603149414,424.1390409598554,54289.79724286149,0.003184824403433595,0.00150618707405556,0.0010000000474974513,0.003056843066588044,0.005356414802372455,0.006586889270693064,0.0009778744211343397,0.0007199817384181928,0.00014742625214251792,0.0008373514655622325,0.0014687072487143738,0.0020363403590192026,0.0022852164647629005,-63.98812765574292,9.892962342225614,-61.54185115601287,-53.82304619841537,1.0,1.0,0.0,0.0,0,0,15.153408527374268,21.87557315826416,0.0010000000474974513,0.0020901229581795633,0.004354984732344747,0.0057530686724930995,1.5463806315178858e-05,0.00032210687394665914,0.0029702229653025647,-96.21367140834836,-76.62860547798545,-69.84385935637937,-56.662183541859804,-52.82153527802609,-50.544218963822274
bayesfl_observability_v1,ola_sparse_bayesian_kl_keep005_seed42,5,ola,global,,,layers.1.weight,layers.1.weight,1280,0.008236033841967583,0.057238198816776276,0.049194253981113434,0.04866031929850578,0.0860885798931122,2.068906905581221,11.600778798386454,6.888758062523337,1.3143690824508667,4.660276889801025,10.212717533111572,20.432417869567875,31.62277603149414,31.62277603149414,182.03305637307295,233002.3121575334,0.019858310673680536,0.034508192730277026,0.0010000000474974513,0.009587788954377174,0.046044373139739046,0.5788490772247314,0.006198189326225841,0.006870824561116677,0.0008260574716527865,0.004250890361958193,0.007938336288171421,0.01396214542221116,0.01948368072093843,-48.913745656340964,10.64779943683312,-47.430413720576084,-37.10097458130209,1.0,1.0,0.0,0.0,0,0,6.91575288772583,13.547339677810669,0.0023953038966283203,0.005448690732009709,0.020908461418002844,0.06767907701432703,9.293465966076636e-07,0.0019903235911451433,0.0917185948372593,-120.63643639711196,-61.6604172323656,-54.021526460348774,-42.00542601788412,-34.20659663970397,-20.750852148764523
bayesfl_observability_v1,ola_sparse_bayesian_kl_keep005_seed42,5,ola,global,,,layers.1.bias,layers.1.bias,10,0.012727169319987297,0.047737836837768555,0.03716026246547699,0.026131223887205124,0.06690117567777631,0.15623321872953774,5.308498406410218,2.360023867970886,2.3899383544921875,2.5534597635269165,4.988163948059082,8.454507446289062,8.60858039855957,8.762653350830078,33.74986798825208,337.4986798825208,0.06903691878542303,0.06088267382758781,0.013023530133068562,0.043567138724029064,0.15359751880168915,0.1750759780406952,0.009959866736808803,0.013425660743006211,0.0027121851579843606,0.004287967962958515,0.007130686121268836,0.024262059145493828,0.03542047064337323,-45.49892274119537,9.111611649722693,-47.354977024174474,-32.57771439686603,1.0,1.0,0.0,0.0,0,0,2.9514764547348022,7.436777949333191,0.013996121753007174,0.01830579712986946,0.12680340185761452,0.16433674842119214,0.000918947789229282,0.0030571699990689792,0.04657888214125268,-60.734183244735505,-51.71949389120464,-50.29437091224385,-43.1334134684228,-29.6069665825685,-26.636218768270965
