label,path,prune_fraction,keep_ratio,final_round,final_global_accuracy,best_global_accuracy,best_accuracy_round,final_global_loss,final_global_ece,best_global_ece,best_ece_round,final_global_nll,final_global_brier,final_local_accuracy_weighted,communication_saving_ratio_final,communication_saving_ratio_mean,communication_compression_ratio_final,communication_compression_ratio_mean,communication_sent_params_mean_final,communication_sent_params_mean_mean,communication_sparse_bytes_mean,communication_dense_bytes_mean,posterior_sigma_mean_final,posterior_snr_raw_p50_final,vi_elbo_loss_mean_final,vi_kl_loss_mean_final
drop000_keep100,outputs/sparse_comm_mnist_noniid_unbalanced/vi_prune000_dense_baseline_seed42,0.0,1.0,200.0,0.8797,0.9009,142.0,0.44182917222976686,0.08542955771237612,0.013543434122204816,42.0,0.44182917222976686,0.1981912673473358,0.9265547211313232,0.0,0.0,1.0,1.0,nan,nan,nan,nan,0.15038380160154674,0.3355144686282614,106.23826389053134,13.73938547634154
drop050_keep050,outputs/sparse_comm_mnist_noniid_unbalanced/vi_update_snr_prune050_keep050_seed42,0.5,0.5,200.0,0.8373,0.9096,135.0,0.6749139117240905,0.08331497514247888,0.011034034933149807,95.0,0.6749139117240905,0.27291736879348755,0.9599476442584072,-0.25,-0.25,0.5,0.5,50885.0,50885.0,15265500.0,12212400.0,0.254393289005846,0.5108747823505684,226.1034293144544,278.03425209036254
drop075_keep025,outputs/sparse_comm_mnist_noniid_unbalanced/vi_update_snr_prune075_keep025_seed42,0.75,0.25,200.0,0.8688,0.9165,135.0,0.5335017773628234,0.04903334541618823,0.009492507471144187,135.0,0.5335017773628234,0.2092295617580414,0.9598951594439548,0.3749877174019849,0.3749877174019853,0.2500049130392061,0.25000491303920575,25443.0,25443.0,7632900.0,12212400.0,0.19593620659739375,0.8869143339886928,280.4783924032582,410.09831402807976
drop090_keep010,outputs/sparse_comm_mnist_noniid_unbalanced/vi_update_snr_prune090_keep010_seed42,0.9,0.1,200.0,0.881,0.9187,185.0,0.47098305566310883,0.05075387939661744,0.014937055878341172,52.0,0.47098305566310883,0.1854428082704544,0.9650070753496397,0.75,0.75,0.1,0.09999999999999992,10177.0,10177.0,3053100.0,12212400.0,0.1277038734809986,1.4456534293425198,460.78321598679486,762.6733020530229
drop095_keep005,outputs/sparse_comm_mnist_noniid_unbalanced/vi_update_snr_prune095_keep005_seed42,0.95,0.05,200.0,0.8775,0.903,185.0,0.4815180598974228,0.05585090969949959,0.0103911755904555,52.0,0.4815180598974228,0.18854056458473206,0.9617150166465099,0.8749877174019849,0.8749877174019816,0.05000491303920605,0.05000491303920621,5089.0,5089.0,1526700.0,12212400.0,0.09422934106988998,1.7144674087858551,701.3741296458245,1185.3250921919757
drop098_keep002,outputs/sparse_comm_mnist_noniid_unbalanced/vi_update_snr_prune098_keep002_seed42,0.98,0.02,200.0,0.8676,0.8904,185.0,0.49239872217178343,0.05703517079949378,0.008557366389036206,46.0,0.49239872217178343,0.2033100255727768,0.9483238122061551,0.9499852608823819,0.9499852608823838,0.020005895647047262,0.020005895647047345,2036.0,2036.0,610800.0,12212400.0,0.07218547176111771,1.661892796839795,1022.3437383939423,1737.3175973027537
