schema_version,run_id,round,method,aggregation_mode,num_results_received,num_failures,total_selected_examples,aggregation_weight_entropy,aggregation_weight_min,aggregation_weight_max,global_before_l2,global_after_l2,aggregation_delta_l2,aggregation_delta_linf,aggregation_delta_cosine,client_update_l2_mean,client_update_l2_std,client_update_l2_min,client_update_l2_max,client_update_cosine_mean,client_update_cosine_std,pairwise_update_cosine_mean,pairwise_update_cosine_std,update_conflict_fraction,fedavg_equivalent_delta_l2,bayes_product_delta_l2,bayes_vs_fedavg_delta_l2,aggregation_energy_before,aggregation_energy_after,aggregation_error_proxy
bayesfl_observability_v1,ola_sparse_random_keep050_seed42,109,ola,ola,24,0,2336,2.055826415408383,0.0008561643835616438,0.18236301369863014,7.657670485959158,7.660233274535488,0.06382145954333467,0.008110672235488892,0.9999653371757048,0.08576827175396644,0.04076915400976646,0.01813795085883941,0.1670529209706521,0.9999231793677109,6.370656357824575e-05,,,,,0.06382145954333467,,,,
bayesfl_observability_v1,ola_sparse_random_keep050_seed42,110,ola,ola,24,0,2773,2.0605949713216156,0.002163721601153985,0.35124413992066356,7.660233274535488,7.664675428469325,0.10033730792916296,0.019023075699806213,0.9999144328504425,0.08328867476077227,0.05133002999906002,0.014161596689484135,0.2398318632413726,0.9999185515869383,0.00011466695344082808,,,,,0.10033730792916296,,,,
bayesfl_observability_v1,ola_sparse_random_keep050_seed42,111,ola,ola,24,0,3173,2.0665827219955735,0.005042546485975417,0.2694610778443114,7.664675428469325,7.667296545117626,0.07183363474584739,0.012404128909111023,0.9999561559117837,0.09166265843761905,0.041512893563524195,0.030542354278380993,0.15718998088897448,0.9999139285048753,6.609183834012267e-05,,,,,0.07183363474584739,,,,
bayesfl_observability_v1,ola_sparse_random_keep050_seed42,112,ola,ola,24,0,4370,2.297848359533507,0.011212814645308924,0.21533180778032038,7.667296545117626,7.670588475559918,0.09496612917818212,0.009837090969085693,0.9999234201755572,0.13013235082942504,0.057153431730105765,0.04533645303966898,0.24389267528818845,0.9998283646416404,0.00013499521580631052,,,,,0.09496612917818212,,,,
bayesfl_observability_v1,ola_sparse_random_keep050_seed42,113,ola,ola,24,0,2859,1.538665932846868,0.0006995452955578874,0.43896467296257435,7.670588475559918,7.67520144335678,0.10232210296755889,0.01662123203277588,0.9999112625655362,0.0836934212765823,0.04335990101564342,0.03320220410686106,0.2049689507370159,0.9999246498560094,8.76385379473264e-05,,,,,0.10232210296755889,,,,
bayesfl_observability_v1,ola_sparse_random_keep050_seed42,114,ola,ola,24,0,3474,1.8336985042552862,0.0002878526194588371,0.30023028209556707,7.67520144335678,7.67890555342363,0.11114361965025912,0.011812306940555573,0.9998953191290318,0.09177774853259554,0.06158909832422416,0.0002020783132150631,0.21774295072165692,0.9998964894212626,0.00012099279106280537,,,,,0.11114361965025912,,,,
bayesfl_observability_v1,ola_sparse_random_keep050_seed42,115,ola,ola,24,0,1632,1.8955559992188529,0.0012254901960784314,0.3743872549019608,7.67890555342363,7.680162813834631,0.10530688537275441,0.017644822597503662,0.9999059947998039,0.08556115095092788,0.059659695719778444,0.011921475986034293,0.2389928726630718,0.999907793288351,0.00012450069653224366,,,,,0.10530688537275441,,,,
bayesfl_observability_v1,ola_sparse_random_keep050_seed42,116,ola,ola,24,0,3801,1.725052288210681,0.00026308866087871614,0.3704288345172323,7.680162813834631,7.684849988158445,0.13033878674472169,0.021636754274368286,0.9998562693047419,0.10893942223122814,0.07487359834060495,0.009789609680964482,0.27924221192586374,0.9998520173669786,0.00018201336797536372,,,,,0.13033878674472169,,,,
bayesfl_observability_v1,ola_sparse_random_keep050_seed42,117,ola,ola,24,0,3983,1.8596825772862888,0.0005021340697966357,0.3163444639718805,7.684849988158445,7.6912740996734215,0.11994511524583452,0.018923118710517883,0.9998786460626482,0.1032471956975194,0.056870603293540226,0.0025133438393735953,0.23356222492736176,0.9998826091723596,0.00011894851631802646,,,,,0.11994511524583452,,,,
bayesfl_observability_v1,ola_sparse_random_keep050_seed42,118,ola,ola,24,0,2655,1.2606791834729212,0.0003766478342749529,0.4915254237288136,7.6912740996734215,7.698330839883863,0.1592475833543459,0.02100740373134613,0.9997862691527204,0.08310855991854392,0.07523430179886109,0.00856935024831534,0.2452496119361025,0.9998940161420813,0.00015877870584202842,,,,,0.1592475833543459,,,,
bayesfl_observability_v1,ola_sparse_random_keep050_seed42,119,ola,ola,24,0,2747,1.5975032592757972,0.00036403349108117945,0.45686203130688025,7.698330839883863,7.704243857288516,0.12715811793645634,0.01967887580394745,0.9998639835384446,0.09880129848512406,0.05883531840208104,0.03326185710375448,0.22136985181102475,0.9998885887524904,0.0001231544521962093,,,,,0.12715811793645634,,,,
bayesfl_observability_v1,ola_sparse_random_keep050_seed42,120,ola,ola,24,0,2938,1.591989756358092,0.0013614703880190605,0.5034036759700476,7.704243857288516,7.708525208003919,0.09626875533906841,0.013078257441520691,0.9999221283126425,0.0937221411323641,0.04779809455864689,0.010610582842697495,0.1848081031315095,0.9999069737935253,8.265325754008878e-05,,,,,0.09626875533906841,,,,
bayesfl_observability_v1,ola_sparse_random_keep050_seed42,121,ola,ola,24,0,2991,1.8221778799995971,0.0010030090270812437,0.47074557004346373,7.708525208003919,7.711473059575828,0.11264928915108306,0.014482259750366211,0.9998933352861715,0.0755958349900943,0.05133647503647174,0.012958242972788017,0.2182122338037898,0.9999297970498604,9.950213013797215e-05,,,,,0.11264928915108306,,,,
bayesfl_observability_v1,ola_sparse_random_keep050_seed42,122,ola,ola,24,0,2547,1.7895709233356325,0.0007852375343541421,0.4499411071849234,7.711473059575828,7.714545849573683,0.12013590847698893,0.020817965269088745,0.9998787773557092,0.0853960091285577,0.0592633385322,0.01551643201860027,0.2534123238637873,0.999909229771323,0.00013267074859200733,,,,,0.12013590847698893,,,,
bayesfl_observability_v1,ola_sparse_random_keep050_seed42,123,ola,ola,24,0,4769,2.2118246160006585,0.0004193751310547285,0.22939819668693645,7.714545849573683,7.714486901010597,0.12195196873215385,0.015915026422590017,0.9998750517655288,0.1380243098995098,0.06254406185675128,0.043581342181676974,0.2773427588166655,0.9998073056911453,0.00016369502019083715,,,,,0.12195196873215385,,,,
