round,parameter,kind,numel,mean_abs,sigma_mean,precision_mean,precision_min,precision_max,zero_precision_fraction
0,conv1.weight,fola,2400,0.04142514616250992,1000000.0,0.0,0.0,0.0,1.0
0,conv1.bias,fola,32,0.0,1000000.0,0.0,0.0,0.0,1.0
0,conv2.weight,fola,51200,0.024921415373682976,1000000.0,0.0,0.0,0.0,1.0
0,conv2.bias,fola,64,0.0,1000000.0,0.0,0.0,0.0,1.0
0,fc1.weight,fola,819200,0.026658393442630768,1000000.0,0.0,0.0,0.0,1.0
0,fc1.bias,fola,512,0.0,1000000.0,0.0,0.0,0.0,1.0
0,fc2.weight,fola,5120,0.0539950355887413,1000000.0,0.0,0.0,0.0,1.0
0,fc2.bias,fola,10,0.0,1000000.0,0.0,0.0,0.0,1.0
1,conv1.weight,fola,2400,0.04660486429929733,15.941155433654785,0.0058423238806426525,0.0008667960064485669,0.01853935606777668,0.0
1,conv1.bias,fola,32,0.03422167897224426,6.473063945770264,0.03337849676609039,0.006868989672511816,0.0892590805888176,0.0
1,conv2.weight,fola,51200,0.023312630131840706,87.10808563232422,0.0003195704484824091,4.750678499476635e-07,0.0037509826943278313,0.0
1,conv2.bias,fola,64,0.030275028198957443,15.452065467834473,0.0070442259311676025,0.00024373133783228695,0.026755139231681824,0.0
1,fc1.weight,fola,819200,0.013876260258257389,709.0977172851562,2.6673693355405703e-05,4.083280751281809e-13,0.00056860112817958,0.0
1,fc1.bias,fola,512,0.0051553258672356606,97.06959533691406,0.00036744901444762945,1.0878162015615089e-07,0.0014492359478026628,0.0
1,fc2.weight,fola,5120,0.05185437202453613,351.4037170410156,0.0026643318124115467,6.902946096676299e-12,0.057693902403116226,0.0
1,fc2.bias,fola,10,0.0783139169216156,6.905120849609375,0.023346399888396263,0.00948298629373312,0.029533933848142624,0.0
2,conv1.weight,fola,2400,0.05123002827167511,10.367996215820312,0.01485729031264782,0.0016236177179962397,0.07317712157964706,0.0
2,conv1.bias,fola,32,0.04775293171405792,4.035433769226074,0.100386843085289,0.014514257200062275,0.41006115078926086,0.0
2,conv2.weight,fola,51200,0.02292904630303383,58.48899841308594,0.0008484417339786887,7.627872378179745e-07,0.015348101034760475,0.0
2,conv2.bias,fola,64,0.04702593386173248,10.560318946838379,0.017402147874236107,0.00034038847661577165,0.08256485313177109,0.0
2,fc1.weight,fola,819200,0.011778950691223145,312.2364501953125,6.595811282750219e-05,1.0887426377115261e-11,0.0010464696679264307,0.0
2,fc1.bias,fola,512,0.006975947879254818,60.676429748535156,0.0009138734312728047,1.1108678421578588e-07,0.0031945703085511923,0.0
2,fc2.weight,fola,5120,0.05316362529993057,71.16398620605469,0.005208397749811411,3.2169256147795977e-09,0.09340926259756088,0.0
2,fc2.bias,fola,10,0.10446995496749878,4.94359016418457,0.045374058187007904,0.018652118742465973,0.05804405361413956,0.0
3,conv1.weight,fola,2400,0.055488549172878265,8.226280212402344,0.024495355784893036,0.002293103374540806,0.14995945990085602,0.0
3,conv1.bias,fola,32,0.05714742839336395,3.1910953521728516,0.17571833729743958,0.01974150910973549,0.8493836522102356,0.0
3,conv2.weight,fola,51200,0.022864699363708496,47.70774841308594,0.001437549595721066,1.020741592583363e-06,0.035176195204257965,0.0
3,conv2.bias,fola,64,0.0603499598801136,8.719022750854492,0.027072735130786896,0.0004084371030330658,0.14223501086235046,0.0
3,fc1.weight,fola,819200,0.01072725746780634,260.7450256347656,0.00010491098510101438,1.0888524457075555e-11,0.0019520283676683903,0.0
3,fc1.bias,fola,512,0.00825267843902111,51.520931243896484,0.0014390861615538597,1.1108683395377739e-07,0.0052632419392466545,0.0
3,fc2.weight,fola,5120,0.05467803403735161,63.105918884277344,0.007419700268656015,3.2171898478594585e-09,0.12314955145120621,0.0
3,fc2.bias,fola,10,0.11875907331705093,4.126388072967529,0.06506385654211044,0.027251435443758965,0.08607245981693268,0.0
4,conv1.weight,fola,2400,0.05931798368692398,6.986853122711182,0.034422729164361954,0.002901052823290229,0.22595582902431488,0.0
4,conv1.bias,fola,32,0.06622399389743805,2.7111330032348633,0.25766146183013916,0.024632500484585762,1.2932956218719482,0.0
4,conv2.weight,fola,51200,0.022948265075683594,41.23324203491211,0.002079794881865382,1.1959632502112072e-06,0.06410081684589386,0.0
4,conv2.bias,fola,64,0.07155340909957886,7.640583038330078,0.03678644448518753,0.00045718904584646225,0.2010226547718048,0.0
4,fc1.weight,fola,819200,0.010066010057926178,235.51394653320312,0.00014519250544253737,1.0888524457075555e-11,0.002962991362437606,0.0
4,fc1.bias,fola,512,0.00926623959094286,46.685935974121094,0.001958345528692007,1.1108683395377739e-07,0.007237311918288469,0.0
4,fc2.weight,fola,5120,0.056088000535964966,59.232994079589844,0.009497233666479588,3.2171898478594585e-09,0.1497502326965332,0.0
4,fc2.bias,fola,10,0.1283913552761078,3.6377251148223877,0.08370891958475113,0.035334642976522446,0.11147098243236542,0.0
5,conv1.weight,fola,2400,0.0629517212510109,6.143706798553467,0.04490424320101738,0.00348936440423131,0.30055394768714905,0.0
5,conv1.bias,fola,32,0.07966959476470947,2.396327495574951,0.34314674139022827,0.02920866385102272,1.7168177366256714,0.0
5,conv2.weight,fola,51200,0.02310774102807045,36.84007263183594,0.0027516300324350595,1.3516402077584644e-06,0.09504571557044983,0.0
5,conv2.bias,fola,64,0.08076345920562744,6.902065277099609,0.04641643911600113,0.0005140953580848873,0.26211410760879517,0.0
5,fc1.weight,fola,819200,0.009603911079466343,219.80780029296875,0.00018685053510125726,1.0888524457075555e-11,0.003929011058062315,0.0
5,fc1.bias,fola,512,0.01012451108545065,43.601234436035156,0.002468197140842676,1.1108683395377739e-07,0.009073504246771336,0.0
5,fc2.weight,fola,5120,0.05739734694361687,56.79929733276367,0.01147811021655798,3.2171898478594585e-09,0.17363357543945312,0.0
5,fc2.bias,fola,10,0.13552266359329224,3.300896167755127,0.10158836841583252,0.0432555265724659,0.13607417047023773,0.0
6,conv1.weight,fola,2400,0.06620432436466217,5.534645080566406,0.05541694164276123,0.004072168376296759,0.36823368072509766,0.0
6,conv1.bias,fola,32,0.09239188581705093,2.169497489929199,0.4312818646430969,0.03366738557815552,2.1054258346557617,0.0
6,conv2.weight,fola,51200,0.023311473429203033,33.610294342041016,0.003461248939856887,1.5156689414652647e-06,0.1272863894701004,0.0
6,conv2.bias,fola,64,0.08841222524642944,6.352813720703125,0.056059449911117554,0.0005576233961619437,0.3203526735305786,0.0
6,fc1.weight,fola,819200,0.009260821156203747,208.8031463623047,0.00022974397870711982,1.0888524457075555e-11,0.004967184271663427,0.0
6,fc1.bias,fola,512,0.010814892128109932,41.432559967041016,0.0029667855706065893,1.1108683395377739e-07,0.011057495139539242,0.0
6,fc2.weight,fola,5120,0.058566413819789886,55.111305236816406,0.013372480869293213,3.2171898478594585e-09,0.19962070882320404,0.0
6,fc2.bias,fola,10,0.1410333663225174,3.050743579864502,0.11876144260168076,0.05119594559073448,0.15987958014011383,0.0
7,conv1.weight,fola,2400,0.06929273158311844,5.079028129577637,0.06625036150217056,0.004604357294738293,0.4383048713207245,0.0
7,conv1.bias,fola,32,0.10335969924926758,2.0012753009796143,0.5196512937545776,0.03786652907729149,2.4703986644744873,0.0
7,conv2.weight,fola,51200,0.023544378578662872,31.13018035888672,0.004182080738246441,1.6516667074029101e-06,0.15772151947021484,0.0
7,conv2.bias,fola,64,0.09524288773536682,5.927779197692871,0.06544876098632812,0.0005976700922474265,0.3735891878604889,0.0
7,fc1.weight,fola,819200,0.008996538817882538,200.53013610839844,0.00027394830249249935,1.0888524457075555e-11,0.005881709046661854,0.0
7,fc1.bias,fola,512,0.011506263166666031,39.816139221191406,0.0034469254314899445,1.1108683395377739e-07,0.013118510134518147,0.0
7,fc2.weight,fola,5120,0.05968381091952324,53.83366775512695,0.015184283256530762,3.2171898478594585e-09,0.224345400929451,0.0
7,fc2.bias,fola,10,0.14552821218967438,2.8565235137939453,0.13520172238349915,0.05866793543100357,0.18244457244873047,0.0
8,conv1.weight,fola,2400,0.07206616550683975,4.713710308074951,0.07715119421482086,0.005135567858815193,0.5032275319099426,0.0
8,conv1.bias,fola,32,0.11264774948358536,1.8688101768493652,0.6075528264045715,0.042007435113191605,2.8142740726470947,0.0
8,conv2.weight,fola,51200,0.023777542635798454,29.116323471069336,0.0049208165146410465,1.6679409782227594e-06,0.18725337088108063,0.0
8,conv2.bias,fola,64,0.10063214600086212,5.59177303314209,0.07464708387851715,0.0006322909030131996,0.4252392649650574,0.0
8,fc1.weight,fola,819200,0.008787086233496666,193.94216918945312,0.00032016568002291024,1.0888524457075555e-11,0.006858341861516237,0.0
8,fc1.bias,fola,512,0.012076398357748985,38.55926513671875,0.003911668434739113,1.1108683395377739e-07,0.015172497369349003,0.0
8,fc2.weight,fola,5120,0.06065065786242485,52.82123947143555,0.016969628632068634,3.2171898478594585e-09,0.24784308671951294,0.0
8,fc2.bias,fola,10,0.14915867149829865,2.699597120285034,0.15113212168216705,0.0661425068974495,0.20466111600399017,0.0
9,conv1.weight,fola,2400,0.07467427849769592,4.425867557525635,0.08773911744356155,0.005616798065602779,0.5612534284591675,0.0
