round,num_clients,num_examples,client_id,effective_prior_lambda,local_steps,lr,posterior_mean_abs_mean,posterior_precision_max,posterior_precision_mean,posterior_precision_min,posterior_sigma_mean,prior_loss,server_round,task_loss,train_accuracy,train_loss,update_l2,update_max_abs,update_rms,variance_floor_fraction
1,100,358.83852917665865,41.054756195043964,0.010000000000000002,116.96509459099387,0.010000000000000002,0.019197141637457567,1.8751632084282372,1.0000676771353683,1.0,0.9999680562790022,0.25984757739766956,1.0,0.42909648998490574,0.9280841993072204,0.43169496578886896,0.8796761031409219,0.11124279015245153,0.0011906991679667732,0.0
2,100,358.83852917665865,41.054756195043964,0.010000000000000002,116.96509459099387,0.010000000000000002,0.019218510911177017,1.6422644263739399,1.0001406130549875,1.0,0.9999327618592453,0.09587814194388804,2.0,0.25456929782989507,0.9519850786037835,0.25552807963243435,0.7432276913779823,0.08603210656615067,0.0010060073140259662,0.0
3,100,358.83852917665865,41.054756195043964,0.009999999999999993,116.96509459099387,0.009999999999999993,0.01923813321175953,1.7660880632442442,1.0002198606792017,1.0,0.9998952914033655,0.04863373719476037,3.0,0.18338943953279777,0.9624966693312017,0.18387577664068633,0.6431594129813025,0.07353765645976752,0.0008705583511618407,0.0
4,100,358.83852917665865,41.054756195043964,0.01,116.96509459099387,0.01,0.01925608664156133,1.9567407323715054,1.0003089584083902,1.0,0.9998540948108066,0.029272001499835356,4.0,0.1470927626349692,0.9699973354649614,0.14738548257487097,0.5724275527535679,0.0653564178046048,0.000774818149943241,0.0
5,100,358.83852917665865,41.054756195043964,0.01,116.96509459099387,0.01,0.019272690342888588,2.1682746349383506,1.0004057502103183,1.0,0.9998102036638661,0.019403104659764334,5.0,0.12473198545124638,0.9748867572608579,0.12492601650459104,0.517835513276184,0.05888002151416159,0.0007009242522333503,0.0
6,100,358.83852917665865,41.054756195043964,0.010000000000000002,116.96509459099387,0.010000000000000002,0.019288149037341343,2.3865086803619238,1.000508832782099,1.0,0.9997644486159406,0.01390842702870413,6.0,0.1086476325848283,0.9784972022382092,0.10878671691279769,0.477141402142315,0.05444288861873549,0.0006458421099593514,0.0
7,100,358.83852917665865,41.054756195043964,0.010000000000000002,116.96509459099387,0.010000000000000002,0.01930250635211787,2.597175673218114,1.0006160248692362,1.0,0.9997177605628961,0.010462326440848923,7.0,0.09662753056292486,0.9806421529443111,0.09673215382208078,0.44366013476138655,0.050507900589539044,0.0006005230236836169,0.0
8,100,358.83852917665865,41.054756195043964,0.009999999999999995,116.96509459099387,0.009999999999999995,0.019315944421519498,2.8242738818347277,1.0007251178818053,1.0,0.9996713906156911,0.008237704275468336,8.0,0.08682403470588408,0.982200905941913,0.08690641174600505,0.4173290764217359,0.047731481446269645,0.0005648822132253578,0.0
9,100,358.83852917665865,41.054756195043964,0.009999999999999997,116.96509459099387,0.009999999999999997,0.019328477061708555,3.1168522958021114,1.000840126098584,1.0,0.9996242428497364,0.006663421576312644,9.0,0.07929477540758009,0.9834399147348784,0.0793614096678126,0.39412077798314993,0.04520639685245517,0.00053346826263368,0.0
10,100,358.83852917665865,41.054756195043964,0.010000000000000002,116.96509459099387,0.010000000000000002,0.019340291334605617,3.3791440964825084,1.000955935624775,1.0,0.9995775220394344,0.005570871720633913,10.0,0.07329196696296121,0.9842525979216626,0.07334767565413124,0.37644135983096644,0.04317272368052594,0.0005095380132967034,0.0
11,100,358.83852917665865,41.054756195043964,0.01,116.96509459099387,0.01,0.0193513799571933,3.6677571802561104,1.001069857902335,1.0,0.9995325689522838,0.004753557924432279,11.0,0.06762307960566824,0.9856914468425256,0.06767061513410881,0.3598519655225062,0.04110385625455166,0.00048708318255885873,0.0
12,100,358.83852917665865,41.054756195043964,0.010000000000000002,116.96509459099387,0.010000000000000002,0.019361848194845557,3.9599970219264247,1.001184462813762,1.0,0.9994889083458574,0.004110098956629136,12.0,0.06318956140674553,0.9865041300293097,0.06323066231117672,0.34577350137129925,0.03959445506437909,0.00046802706009373997,0.0
13,100,358.83852917665865,41.054756195043964,0.010000000000000002,116.96509459099387,0.010000000000000002,0.01937168659169229,4.256886124039154,1.0013019610641758,1.0,0.9994451993299903,0.0036194918293222284,13.0,0.05962301979812376,0.9867439381827867,0.0596592146807314,0.3336672834990576,0.03827345100379865,0.0004516405020228394,0.0
14,100,358.83852917665865,41.054756195043964,0.010000000000000004,116.96509459099387,0.010000000000000004,0.01938102982416975,4.563689079692514,1.001420592826271,1.0,0.9994022316529988,0.0032306007652548076,14.0,0.056709745442320506,0.987183586464162,0.056742051379598,0.3239251418441223,0.03708691507229984,0.0004384538758074313,0.0
15,100,358.83852917665865,41.054756195043964,0.010000000000000004,116.96509459099387,0.010000000000000004,0.019389828736308696,4.895493413809297,1.0015436240457087,1.0,0.9993587084434046,0.002920660699807056,15.0,0.054095971516810955,0.9882094324540368,0.054125178189855544,0.313782011342475,0.036057594570991613,0.00042472448494894723,0.0
16,100,358.83852917665865,41.054756195043964,0.010000000000000004,116.96509459099387,0.010000000000000004,0.019398345748602556,5.228887517897568,1.001666431137153,1.0,0.9993164395153086,0.002667892974930947,16.0,0.05118905376313414,0.9885158539834796,0.05121573268717305,0.30670118897746274,0.03533145151738313,0.00041514012853817613,0.0
17,100,358.83852917665865,41.054756195043964,0.01,116.96509459099387,0.01,0.019406393587626296,5.550048803158706,1.0017860729683317,1.0,0.9992751134293463,0.0024477042717701474,17.0,0.04895023027278014,0.9893551825206504,0.04897470729812971,0.29825246088841095,0.03442438760555957,0.0004037042222198251,0.0
18,100,358.83852917665865,41.054756195043964,0.01,116.96509459099387,0.01,0.019414124310006567,5.876410827679917,1.001904041544615,1.0,0.9992360520792575,0.0022666773591049293,18.0,0.046737727627717295,0.9897015720756723,0.046760394358570316,0.29183899684727144,0.03337130939433226,0.00039502317896958404,0.0
19,100,358.83852917665865,41.054756195043964,0.01,116.96509459099387,0.01,0.019421534710595413,6.220107804861763,1.002023299282011,1.0,0.9991972949489,0.002120964403523543,19.0,0.04468265634583902,0.9901145750066611,0.044703866027580016,0.2863098918423663,0.03300525003448233,0.000387539173543685,0.0
20,100,358.83852917665865,41.054756195043964,0.010000000000000004,116.96509459099387,0.010000000000000004,0.019428585484073085,6.572331222063569,1.0021450389261655,1.0,0.9991588335606588,0.0019723307255242054,20.0,0.04340863025618796,0.9902744471089794,0.043428353606482686,0.2796649222661783,0.032248019830100665,0.00037854477240299093,0.0
21,100,358.83852917665865,41.054756195043964,0.009999999999999998,116.96509459099387,0.009999999999999998,0.019435373461736308,6.959747835441872,1.0022728724861398,1.0,0.999119320443538,0.0018713569131209664,21.0,0.04216353568634511,0.9904476418864904,0.04218224923637267,0.2753652867765995,0.0316694822090301,0.0003727249344174846,0.0
22,100,358.83852917665865,41.054756195043964,0.01000000000000001,116.96509459099387,0.01000000000000001,0.019441933757536247,7.364671607415199,1.002404396548805,1.0,0.9990797453534646,0.0017652669065108036,22.0,0.04086392588307726,0.990607513988809,0.04088157849810506,0.2708168752537692,0.031119074878521568,0.0003665683617920976,0.0
23,100,358.83852917665865,41.054756195043964,0.010000000000000002,116.96509459099387,0.010000000000000002,0.01944821988145373,7.595433362795136,1.0025209859695363,1.0,0.9990427092315597,0.0016770410888298608,23.0,0.03869666258306351,0.9914868105515589,0.03871343299866222,0.26598833287833246,0.030562425970001597,0.00036003261372710336,0.0
24,100,358.83852917665865,41.054756195043964,0.01,116.96509459099387,0.01,0.0194543001636972,7.961686031360357,1.002641368906984,1.0,0.9990073235176771,0.0015957853101008406,24.0,0.037979471449760036,0.9915401012523314,0.03799542927987257,0.2624658979503749,0.030170656685358076,0.0003552647675585408,0.0
