schema_version,run_id,physical_client_id,virtual_client_id,num_examples,train_examples,val_examples,label_0_count,label_1_count,label_2_count,label_3_count,label_4_count,label_5_count,label_6_count,label_7_count,label_8_count,label_9_count,label_entropy,dominant_label,dominant_label_fraction,kl_to_global_label_distribution,is_iid,is_balanced,noniid_alpha,unbalanced_alpha
bayesfl_observability_v1,,0,0,75,75,0,0,1,0,74,0,0,0,0,0,0,0.07081055490819625,3,0.9866666666666667,2.2089094885596023,False,False,0.1,0.5
bayesfl_observability_v1,,1,0,112,112,0,0,0,0,0,0,76,36,0,0,0,0.627941588739906,5,0.6785714285714286,1.7479275202290525,False,False,0.1,0.5
bayesfl_observability_v1,,2,0,224,224,0,0,2,25,193,3,0,0,0,1,0,0.49712268887525346,3,0.8616071428571429,1.7870656882385882,False,False,0.1,0.5
bayesfl_observability_v1,,3,0,60,60,0,0,14,3,43,0,0,0,0,0,0,0.7281071546314151,3,0.7166666666666667,1.532144314993967,False,False,0.1,0.5
bayesfl_observability_v1,,4,0,52,52,0,0,0,44,0,1,0,0,6,0,1,0.5424956280473539,2,0.8461538461538461,1.7617239060772953,False,False,0.1,0.5
bayesfl_observability_v1,,5,0,38,38,0,0,2,1,9,8,0,0,7,11,0,1.5903475561802325,8,0.2894736842105263,0.7061063978321973,False,False,0.1,0.5
bayesfl_observability_v1,,6,0,255,255,0,1,0,0,139,12,3,0,10,90,0,1.0431642721063052,3,0.5450980392156862,1.257328427832494,False,False,0.1,0.5
bayesfl_observability_v1,,7,0,168,168,0,27,0,8,84,0,0,7,0,0,42,1.264349492321815,3,0.5,1.032554209297049,False,False,0.1,0.5
bayesfl_observability_v1,,8,0,62,62,0,1,56,5,0,0,0,0,0,0,0,0.36153947789446483,1,0.9032258064516129,1.8365068925499755,False,False,0.1,0.5
bayesfl_observability_v1,,9,0,118,118,0,0,0,3,113,0,0,0,2,0,0,0.20393077072313337,3,0.9576271186440678,2.077417173602598,False,False,0.1,0.5
bayesfl_observability_v1,,10,0,293,293,0,244,13,0,0,0,26,0,10,0,0,0.6208219280032783,0,0.8327645051194539,1.6948761476345018,False,False,0.1,0.5
bayesfl_observability_v1,,11,0,2,2,0,0,0,1,0,0,0,0,1,0,0,0.6931471805599453,2,0.5,1.5913406603425941,False,False,0.1,0.5
bayesfl_observability_v1,,12,1,1564,1564,0,0,0,534,81,0,6,84,858,1,0,1.0327057287701606,7,0.5485933503836317,1.248593947717984,False,False,0.1,0.5
bayesfl_observability_v1,,13,1,112,112,0,0,0,2,0,3,2,7,11,87,0,0.8381359163365036,8,0.7767857142857143,1.4832506162173797,False,False,0.1,0.5
bayesfl_observability_v1,,14,1,36,36,0,0,0,4,0,12,0,1,0,0,19,1.0471745538422783,9,0.5277777777777778,1.2699740071398617,False,False,0.1,0.5
bayesfl_observability_v1,,15,1,56,56,0,7,0,1,0,0,0,0,0,0,48,0.4639406270393286,9,0.8571428571428571,1.8477013096607757,False,False,0.1,0.5
bayesfl_observability_v1,,16,1,409,409,0,0,1,1,0,0,0,0,0,397,10,0.1490487639578261,8,0.9706601466992665,2.177886214364074,False,False,0.1,0.5
bayesfl_observability_v1,,17,1,146,146,0,0,0,0,38,0,0,18,0,17,73,1.2053659931842142,9,0.5,1.1004903769146668,False,False,0.1,0.5
bayesfl_observability_v1,,18,1,451,451,0,2,33,0,0,341,29,11,0,8,27,0.93387416116756,4,0.7560975609756098,1.3882321409892098,False,False,0.1,0.5
bayesfl_observability_v1,,19,1,473,473,0,0,125,0,7,0,57,0,0,284,0,0.9753254220848997,8,0.6004228329809725,1.3234545863280318,False,False,0.1,0.5
bayesfl_observability_v1,,20,1,3,3,0,0,0,0,0,0,0,0,0,0,3,-0.0,9,1.0,2.311121424016332,False,False,0.1,0.5
bayesfl_observability_v1,,21,1,178,178,0,24,70,0,0,0,82,1,1,0,0,1.0524636786770594,5,0.4606741573033708,1.2525934745728768,False,False,0.1,0.5
bayesfl_observability_v1,,22,1,285,285,0,0,18,256,4,3,0,4,0,0,0,0.4385302006761509,2,0.8982456140350877,1.8631715997773055,False,False,0.1,0.5
bayesfl_observability_v1,,23,1,340,340,0,6,0,0,188,0,0,0,115,23,8,1.0359434414661433,3,0.5529411764705883,1.2422106794126557,False,False,0.1,0.5
bayesfl_observability_v1,,24,1,30,30,0,14,0,1,0,0,6,0,2,7,0,1.3110298871791874,0,0.4666666666666667,1.0210991742953581,False,False,0.1,0.5
bayesfl_observability_v1,,25,2,65,65,0,12,0,45,0,0,0,0,0,8,0,0.8243222826562666,2,0.6923076923076923,1.4886055708722064,False,False,0.1,0.5
bayesfl_observability_v1,,26,2,32,32,0,0,0,0,0,0,12,15,0,5,0,1.0130227035447372,6,0.46875,1.337996707207389,False,False,0.1,0.5
bayesfl_observability_v1,,27,2,678,678,0,0,0,668,9,0,0,0,1,0,0,0.08162587036147914,2,0.9852507374631269,2.2275297802473157,False,False,0.1,0.5
bayesfl_observability_v1,,28,2,1082,1082,0,0,0,0,0,800,282,0,0,0,0,0.5737132467087467,4,0.7393715341959335,1.7750512712888695,False,False,0.1,0.5
bayesfl_observability_v1,,29,2,375,375,0,188,12,0,3,1,127,0,0,19,25,1.2090758876194794,0,0.5013333333333333,1.1323626999805705,False,False,0.1,0.5
bayesfl_observability_v1,,30,2,2,2,0,0,0,1,0,1,0,0,0,0,0,0.6931471805599453,2,0.5,1.6262933525338354,False,False,0.1,0.5
bayesfl_observability_v1,,31,2,77,77,0,0,2,0,0,0,14,0,14,47,0,1.0160542936625165,8,0.6103896103896104,1.3094444340884457,False,False,0.1,0.5
bayesfl_observability_v1,,32,2,4,4,0,3,0,0,0,0,0,1,0,0,0,0.5623351446188083,0,0.75,1.7533774711376668,False,False,0.1,0.5
bayesfl_observability_v1,,33,2,3,3,0,0,0,0,0,0,2,0,0,1,0,0.6365141682948128,5,0.6666666666666666,1.7421059981397873,False,False,0.1,0.5
bayesfl_observability_v1,,34,2,98,98,0,12,16,0,0,67,1,2,0,0,0,0.9392429968990706,4,0.6836734693877551,1.3654484544000312,False,False,0.1,0.5
bayesfl_observability_v1,,35,2,13,13,0,0,0,7,0,0,1,0,0,0,5,0.8981370031878679,2,0.5384615384615384,1.419319868930796,False,False,0.1,0.5
bayesfl_observability_v1,,36,2,80,80,0,32,0,3,0,0,44,0,0,1,0,0.8732300140738931,5,0.55,1.4909129377062735,False,False,0.1,0.5
bayesfl_observability_v1,,37,3,93,93,0,0,0,5,2,76,0,0,7,1,2,0.7306975233730556,4,0.8172043010752689,1.5908098077517105,False,False,0.1,0.5
bayesfl_observability_v1,,38,3,285,285,0,0,68,2,46,6,0,0,29,134,0,1.3397067534967495,8,0.47017543859649125,0.9396094349232524,False,False,0.1,0.5
bayesfl_observability_v1,,39,3,153,153,0,0,0,2,10,0,0,29,0,0,112,0.778571268152444,9,0.7320261437908496,1.5315510853062817,False,False,0.1,0.5
bayesfl_observability_v1,,40,3,3,3,0,0,1,0,0,0,0,2,0,0,0,0.6365141682948128,6,0.6666666666666666,1.636379152337986,False,False,0.1,0.5
bayesfl_observability_v1,,41,3,4,4,0,3,0,0,0,1,0,0,0,0,0,0.5623351446188083,0,0.75,1.756608808640784,False,False,0.1,0.5
bayesfl_observability_v1,,42,3,58,58,0,12,9,0,5,1,16,3,0,12,0,1.7308356523576378,5,0.27586206896551724,0.5888361420235744,False,False,0.1,0.5
bayesfl_observability_v1,,43,3,1,1,0,0,0,0,0,0,0,1,0,0,0,-0.0,6,1.0,2.3163460082440825,False,False,0.1,0.5
bayesfl_observability_v1,,44,3,102,102,0,0,0,0,1,3,0,0,0,0,98,0.18749585469877714,9,0.9607843137254902,2.1238639523778082,False,False,0.1,0.5
bayesfl_observability_v1,,45,3,2,2,0,1,0,1,0,0,0,0,0,0,0,0.6931471805599453,0,0.5,1.619408415869196,False,False,0.1,0.5
