schema_version,run_id,round,method,scope,physical_client_id,virtual_client_id,layer_name,param_name,num_params,mu_mean,mu_std,mu_abs_mean,mu_abs_p50,mu_abs_p90,mu_l2,sigma_mean,sigma_std,sigma_min,sigma_p10,sigma_p50,sigma_p90,sigma_p95,sigma_max,variance_mean,variance_sum,precision_mean,precision_std,precision_min,precision_p50,precision_p90,precision_max,snr_raw_mean,snr_raw_std,snr_raw_p10,snr_raw_p50,snr_raw_p75,snr_raw_p90,snr_raw_p95,snr_db_mean,snr_db_std,snr_db_p50,snr_db_p90,snr_frac_lt_1,snr_frac_lt_2,snr_frac_gt_1,snr_frac_gt_2,effective_params_snr_gt_1,effective_params_snr_gt_2,sigma_p25,sigma_p75,precision_p10,precision_p25,precision_p75,precision_p95,snr_raw_min,snr_raw_p25,snr_raw_max,snr_db_min,snr_db_p10,snr_db_p25,snr_db_p75,snr_db_p95,snr_db_max
bayesfl_observability_v1,ola_sparse_bayesian_keep10,0,ola,global,,,all,all,159010,5.45137700100895e-05,0.021024007350206375,0.01811516284942627,0.017978155985474586,0.03232539184391499,8.383573423664526,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,159010.0,1.0,0.0,1.0,1.0,1.0,1.0,0.018115164236324678,0.010670176611170404,0.0036411274690144606,0.017978155985456608,0.02699092589316053,0.03232539184388266,0.03414250966158075,-37.51985225656906,8.696197580083817,-34.905097115881986,-29.809124038904997,1.0,1.0,0.0,0.0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,2.937657654908225e-07,0.00907494057900296,0.07066964358084286,-130.63994676998706,-48.77528233796437,-40.843124198503574,-31.37564434388861,-29.33409118022684,-23.015341980364454
bayesfl_observability_v1,ola_sparse_bayesian_keep10,0,ola,global,,,layers.0.weight,layers.0.weight,156800,6.447156920330599e-05,0.02064061164855957,0.017890125513076782,0.017863976769149303,0.03213615044951439,8.173304599771267,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,156800.0,1.0,0.0,1.0,1.0,1.0,1.0,0.017890125613971863,0.010294773436622367,0.00361932865343626,0.01786397676913144,0.026822806335958835,0.03213615044948225,0.03392520397898141,-37.595607006037945,8.66696746056379,-34.960437093639605,-29.860122961129253,1.0,1.0,0.0,0.0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,2.937657654908225e-07,0.00901268119922869,0.03571413084861045,-130.63994676998706,-48.827439577010814,-40.90291981367192,-31.429915720715712,-29.389550648125834,-28.943198290775435
bayesfl_observability_v1,ola_sparse_bayesian_keep10,0,ola,global,,,layers.0.bias,layers.0.bias,200,-0.0018197421450167894,0.020453790202736855,0.017641587182879448,0.016732933931052685,0.032456425577402116,0.29040282587148664,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,200.0,1.0,0.0,1.0,1.0,1.0,1.0,0.017641586775626456,0.010509206554632146,0.003822090476747506,0.01673293393103595,0.026639858726385413,0.032456425577369656,0.03375133499499759,-37.75078336146361,8.577930342275533,-35.52855986287433,-29.77398621431228,1.0,1.0,0.0,0.0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,5.3725074394552325e-05,0.00902865524402848,0.03570755943652397,-85.39645932746465,-48.35545302132749,-40.8886610083978,-31.489553803459938,-29.434248261707776,-28.944796644443095
bayesfl_observability_v1,ola_sparse_bayesian_keep10,0,ola,global,,,layers.1.weight,layers.1.weight,2000,-0.0005526099703274667,0.041094619780778885,0.035703033208847046,0.035481465980410576,0.06411241590976716,1.8379735027562625,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2000.0,1.0,0.0,1.0,1.0,1.0,1.0,0.035703032656533636,0.020356000529086662,0.0078215737827044,0.03548146598037509,0.05364993866527676,0.06411241590970304,0.06721389405422641,-31.586547194144767,8.919788372324513,-28.999968958426898,-23.861157214694302,1.0,1.0,0.0,0.0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.5510040611828067e-06,0.018122131936233993,0.07066964358084286,-116.1877357002053,-42.13411719537072,-34.83581527761155,-25.408616529401584,-23.45081892349771,-23.015341980364454
bayesfl_observability_v1,ola_sparse_bayesian_keep10,0,ola,global,,,layers.1.bias,layers.1.bias,10,0.0028260848484933376,0.04339931160211563,0.038618627935647964,0.04658193141222,0.05549811571836471,0.1375313463313623,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,1.0,0.0,1.0,1.0,1.0,1.0,0.03861862790068475,0.020002217412986557,0.010174848290615785,0.046581931412173413,0.0513923317193471,0.055498115718309204,0.06086461246007553,-31.727770971416827,11.015327959949985,-26.636301828266003,-25.13067847818393,1.0,1.0,0.0,0.0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0008035550126797865,0.024355242494469367,0.06623110920184187,-61.89968769675126,-41.29281290021723,-32.83946872712538,-25.788871492446,-24.354718954720063,-23.578759431256195
bayesfl_observability_v1,ola_sparse_bayesian_keep10,5,ola,global,,,all,all,159010,8.381380030186847e-05,0.021855270490050316,0.01854807697236538,0.018045411445200443,0.03314928151667118,8.715084161483006,0.9997167562169179,0.001126617103125377,0.894069254398346,0.9995450973510742,0.9999277591705322,1.0,1.0,1.0,0.9994348619269735,158920.13739500806,1.0005706327147892,0.002321939853393683,1.0,1.0001444816589355,1.0009104013442993,1.2510011196136475,0.01855443786235731,0.011571003858675717,0.003664422487934627,0.018049673177283832,0.027192668007490043,0.033154144132519624,0.035571324103472225,-37.40058494702212,8.760404277795045,-34.87061315123422,-29.589243576403238,1.0,1.0,0.0,0.0,0,0,0.9997905492782593,1.0,1.0,1.0,1.000419020652771,1.0017489314079284,3.0228071068419707e-07,0.009096787811527098,0.17978699928007913,-130.3917625734279,-48.71988920662345,-40.822238706500826,-31.31096359042002,-28.977999367678002,-14.904834321535716
bayesfl_observability_v1,ola_sparse_bayesian_keep10,5,ola,global,,,layers.0.weight,layers.0.weight,156800,2.295612830494065e-06,0.02119859680533409,0.01822853647172451,0.01792408712208271,0.03287047073245049,8.394215941946698,0.9997477737669738,0.000992663281931823,0.9765008091926575,0.999576085805893,0.9999300837516785,1.0,1.0,1.0,0.9994965965324115,156721.06633628212,1.0005076479113528,0.0020251719872397805,1.0,1.000139832496643,1.0008483052253723,1.048708438873291,0.018233168589119143,0.010824352922236524,0.003637311242433131,0.017926643792141435,0.027001136687113455,0.0328758314251571,0.03522384336286853,-37.49435644231644,8.720704412011854,-34.930020219416384,-29.662465102334288,1.0,1.0,0.0,0.0,0,0,0.9997954964637756,1.0,1.0,1.0,1.0004091262817383,1.0014816582202912,3.0228071068419707e-07,0.009029679997146507,0.06875459268348195,-130.3917625734279,-48.7843906994452,-40.88655280661945,-31.372359052438586,-29.063265175975808,-23.25396572859864
bayesfl_observability_v1,ola_sparse_bayesian_keep10,5,ola,global,,,layers.0.bias,layers.0.bias,200,0.001572819659486413,0.02064967341721058,0.017489872872829437,0.016680591739714146,0.03306596875190735,0.2928763429872399,0.9998228266835213,0.00015469038640700348,0.9984810948371887,0.9996562302112579,0.999856024980545,0.999939912557602,0.9999654650688171,1.0,0.9996457086865422,199.92914173730844,1.000354501605034,0.00030984127061961845,1.0,1.00028795003891,1.0006878972053528,1.0030447244644165,0.017493208848670873,0.011092299688205933,0.002917146720655836,0.016681318320902756,0.027395175662307397,0.03307551172267617,0.036224063361696285,-38.53020208509404,10.10243726267857,-35.555453285074606,-29.609888196971585,1.0,1.0,0.0,0.0,0,0,0.99980628490448,0.9999010264873505,1.000120174884796,1.000197947025299,1.0003875494003296,1.0008205711841582,2.341315862891675e-05,0.008392773853945767,0.041629605648369025,-92.61079947761921,-50.70091687646143,-41.52193744853581,-31.246527502645566,-28.820083226312008,-27.611954061925346
bayesfl_observability_v1,ola_sparse_bayesian_keep10,5,ola,global,,,layers.1.weight,layers.1.weight,2000,0.006295767612755299,0.05148264020681381,0.0435887835919857,0.04091016203165054,0.08013012036681176,2.3195254293891425,0.9972939421832562,0.004195207770199634,0.894069254398346,0.9933330476284027,0.9985586404800415,0.9998057544231415,0.999886491894722,1.0,0.994612806883655,1989.22561376731,1.0054907678961753,0.009061734333014925,1.0,1.0028890371322632,1.0134684324264527,1.2510011196136475,0.043729964754791996,0.028260441769405023,0.008197875475864083,0.04102444368497,0.06270370872963606,0.08047904556234914,0.0947247872846289,-29.9585603233001,8.46988700448803,-27.739149364017628,-21.886343744661634,1.0,1.0,0.0,0.0,0,0,0.9965967684984207,0.9994748383760452,1.0003886103630066,1.0010511577129364,1.0068414211273193,1.0184884071350098,7.095133910431725e-05,0.02129769060525374,0.17978699928007913,-82.9807879465082,-41.72602048756055,-33.43335301210233,-24.054135607008174,-20.470727758630453,-14.904834321535716
bayesfl_observability_v1,ola_sparse_bayesian_keep10,5,ola,global,,,layers.1.bias,layers.1.bias,10,0.006117986515164375,0.04845781251788139,0.04197371378540993,0.044478194788098335,0.0711143635213375,0.15445352645828855,0.9958029687404633,0.002601841364469725,0.9903718829154968,0.9913369953632355,0.9967079758644104,0.9979102551937103,0.9980201989412307,0.9981301426887512,0.9916303221308059,9.916303221308059,1.008467936515808,0.005293964632012308,1.003750205039978,1.0066180229187012,1.0175540566444397,1.0195379257202148,0.04217584402360178,0.02511974374416151,0.001004615532488831,0.04479017852533608,0.06078032446484367,0.07134820779110027,0.07439624670052217,-32.87612071503463,13.887519172383861,-26.976351007970386,-22.935693827507365,1.0,1.0,0.0,0.0,0,0,0.9957086592912674,0.9976840317249298,1.0041926622390747,1.0046480894088745,1.0086382329463959,1.0185459911823274,0.0009546315441103042,0.029593293647941995,0.07744428560994407,-60.403284375700075,-59.96123337674855,-30.83495919099198,-24.38159975888981,-22.57795313427231,-22.220212441037255
