schema_version,run_id,round,method,aggregation_mode,num_results_received,num_failures,total_selected_examples,aggregation_weight_entropy,aggregation_weight_min,aggregation_weight_max,global_before_l2,global_after_l2,aggregation_delta_l2,aggregation_delta_linf,aggregation_delta_cosine,client_update_l2_mean,client_update_l2_std,client_update_l2_min,client_update_l2_max,client_update_cosine_mean,client_update_cosine_std,pairwise_update_cosine_mean,pairwise_update_cosine_std,update_conflict_fraction,fedavg_equivalent_delta_l2,bayes_product_delta_l2,bayes_vs_fedavg_delta_l2,aggregation_energy_before,aggregation_energy_after,aggregation_error_proxy
bayesfl_observability_v1,vi_sparse_random_keep010_seed42,1,vi,product,24,0,2794,1.0888799262702173,0.0017895490336435219,0.6957766642806013,6.786648565740691,7.375780977711776,2.9064045964170195,0.05088432878255844,0.9190908600275728,3.7548419039238192,0.21031771524669887,3.6622677609846903,4.382623918216295,0.8747886805931145,0.011629305789471326,,,,,2.9064045964170195,,,,
bayesfl_observability_v1,vi_sparse_random_keep010_seed42,2,vi,product,24,0,2313,1.1997144982883254,0.00216169476869866,0.6013834846519671,7.375780977711776,7.965485324315933,3.0097433871588684,0.05065876059234142,0.9258676112606615,3.84096433599863,0.2843202080262326,3.674319113458481,4.41373495900423,0.8868351589762927,0.014305592418413088,,,,,3.0097433871588684,,,,
bayesfl_observability_v1,vi_sparse_random_keep010_seed42,3,vi,product,24,0,1161,0.89843145745393,0.004306632213608958,0.7304048234280792,7.965485324315933,8.4836791569851,2.8669362085407717,0.04562238231301308,0.9411719751494342,3.727548583135497,0.13056232143036212,3.665171419910378,4.118338569324587,0.9057161863283956,0.005603180097963479,,,,,2.8669362085407717,,,,
bayesfl_observability_v1,vi_sparse_random_keep010_seed42,4,vi,product,24,0,651,1.042715279481813,0.007680491551459293,0.5192012288786483,8.4836791569851,8.986463615649042,2.946849675964222,0.043878741562366486,0.9447053930352926,3.830252487771426,0.29788134034785874,3.6747612403342877,4.4450791357204595,0.9112452522097028,0.012169326426545961,,,,,2.946849675964222,,,,
bayesfl_observability_v1,vi_sparse_random_keep010_seed42,5,vi,product,24,0,1661,1.1267612145955161,0.0030102347983142685,0.5015051173991572,8.986463615649042,9.463131640310667,2.96327044088179,0.05308479070663452,0.9497074880590928,3.8090828694532908,0.2550509710065939,3.675236240296091,4.423316920584705,0.9205198228781033,0.009804625072170396,,,,,2.96327044088179,,,,
bayesfl_observability_v1,vi_sparse_random_keep010_seed42,6,vi,product,24,0,2052,0.7853293861303532,0.0024366471734892786,0.6778752436647173,9.463131640310667,9.89445833712581,2.9068362072740017,0.05991379916667938,0.9558719004278481,3.7721352486865376,0.22258837571803222,3.682255439090499,4.433334051435633,0.9289108549229519,0.007786445573684198,,,,,2.9068362072740017,,,,
bayesfl_observability_v1,vi_sparse_random_keep010_seed42,7,vi,product,24,0,3945,0.9515403150877946,0.0012674271229404308,0.5054499366286439,9.89445833712581,10.326749901527998,2.9001556626385776,0.0540362186729908,0.9597562130064522,3.7696336361948846,0.22066234917793873,3.6822606469947075,4.429900872042525,0.9344020772388297,0.007186882607912285,,,,,2.9001556626385776,,,,
bayesfl_observability_v1,vi_sparse_random_keep010_seed42,8,vi,product,24,0,122,1.7978666071385416,0.040983606557377046,0.4180327868852459,10.326749901527998,10.693064995810595,2.7071159689502124,0.025046519935131073,0.9674244253235253,3.696175859874702,0.00829325532425577,3.6863214339093964,3.7176043955414495,0.9414702704727935,0.00025740955049815764,,,,,2.7071159689502124,,,,
bayesfl_observability_v1,vi_sparse_random_keep010_seed42,9,vi,product,24,0,2002,0.8623657546275154,0.0024975024975024975,0.7322677322677322,10.693064995810595,11.087243509689012,2.94669650803645,0.045223552733659744,0.964035564039957,3.787348980238911,0.2227835838993052,3.6817074583499196,4.446824170172615,0.9425287402133071,0.006448895359537338,,,,,2.94669650803645,,,,
bayesfl_observability_v1,vi_sparse_random_keep010_seed42,10,vi,product,24,0,122,1.6428722171186394,0.040983606557377046,0.4672131147540984,11.087243509689012,11.421775507689896,2.7210043900554033,0.025073572993278503,0.9712090050759506,3.699979530081047,0.00500474406802304,3.691672389451632,3.7064402568839045,0.9486318778339152,0.00014141861114758537,,,,,2.7210043900554033,,,,
