epoch,valid_mean_error,test_mean_error,valid_mc_error,test_mc_error,train_loss,train_kl_raw_first_batch,train_nll_first_batch,snr_q50_db,snr_q75_db
1,0.5185,0.5063,0.6169,0.617,2982.769041095548,10540986.0,294.46331787109375,-0.34310054779052734,4.533975601196289
2,0.3963,0.3762,0.4255,0.4074,2961.6115741388276,10511252.0,287.9191589355469,-0.7173864841461182,4.399694919586182
3,0.27280000000000004,0.2593,0.2761,0.26270000000000004,2893.234479274897,10487450.0,261.6434326171875,-1.0311896800994873,4.316869735717773
4,0.20679999999999998,0.19130000000000003,0.20809999999999995,0.19289999999999996,2800.4627832281003,10467958.0,162.6085662841797,-1.3433245420455933,4.236483573913574
5,0.1714,0.15800000000000003,0.17320000000000002,0.16100000000000003,2758.468799327647,10450454.0,100.95851135253906,-1.6892184019088745,4.123475074768066
6,0.1492,0.13680000000000003,0.1493,0.14059999999999995,2737.4726219079716,10433657.0,64.17893981933594,-2.05501651763916,3.99320650100708
7,0.13260000000000005,0.12419999999999998,0.13219999999999998,0.12419999999999998,2723.7635407508774,10412010.0,61.929710388183594,-2.4424569606781006,3.8493824005126953
8,0.12170000000000003,0.11370000000000002,0.12360000000000004,0.11499999999999999,2713.522340428188,10400573.0,46.189964294433594,-2.836209774017334,3.6938672065734863
9,0.11509999999999998,0.10940000000000005,0.11570000000000003,0.10870000000000002,2704.963757293001,10374469.0,55.16460418701172,-3.2318074703216553,3.529947519302368
10,0.11029999999999995,0.10399999999999998,0.1119,0.10470000000000002,2697.335368046675,10353547.0,56.10796356201172,-3.632812976837158,3.358246326446533
11,0.10729999999999995,0.10250000000000004,0.10760000000000003,0.10219999999999996,2690.815322290603,10336718.0,63.21836853027344,-4.035726547241211,3.1744797229766846
12,0.10450000000000004,0.0978,0.1049,0.09870000000000001,2684.9098084588795,10322226.0,41.676448822021484,-4.437500476837158,2.987313747406006
13,0.10550000000000004,0.09840000000000004,0.10599999999999998,0.0988,2679.1779085827598,10305384.0,35.997772216796875,-4.846067428588867,2.786205291748047
14,0.1018,0.09340000000000004,0.10189999999999999,0.09340000000000004,2673.9194442085595,10286323.0,43.378135681152344,-5.2434611320495605,2.578200340270996
15,0.0998,0.09260000000000002,0.10070000000000001,0.09389999999999998,2668.8282973345576,10270435.0,42.89020538330078,-5.638134479522705,2.3632731437683105
16,0.09999999999999998,0.09030000000000005,0.09870000000000001,0.09130000000000005,2664.040862646858,10260424.0,53.87638854980469,-6.0322675704956055,2.1376712322235107
17,0.0968,0.08860000000000001,0.09750000000000003,0.08940000000000003,2659.623365943695,10243225.0,60.09248352050781,-6.409792900085449,1.9038598537445068
18,0.09560000000000002,0.08830000000000005,0.09640000000000004,0.08819999999999995,2655.3636733735634,10227810.0,28.16792869567871,-6.785333156585693,1.6663403511047363
19,0.0958,0.08750000000000002,0.09499999999999997,0.08699999999999997,2651.142597481418,10217028.0,38.17585754394531,-7.15372371673584,1.4206795692443848
20,0.09209999999999996,0.0847,0.09230000000000005,0.08540000000000003,2647.2063618925795,10202310.0,38.82718276977539,-7.507074356079102,1.165259838104248
21,0.0928,0.08389999999999997,0.09199999999999997,0.08420000000000005,2643.3827831531744,10187840.0,27.282337188720703,-7.851831436157227,0.8953685760498047
22,0.08979999999999999,0.08230000000000004,0.08999999999999997,0.08299999999999996,2639.70687702306,10172274.0,35.84534454345703,-8.182292938232422,0.6283516883850098
23,0.08889999999999998,0.08040000000000003,0.08989999999999998,0.0806,2636.416392138546,10159917.0,25.2508544921875,-8.510833740234375,0.35253822803497314
24,0.0877,0.07920000000000005,0.08930000000000005,0.08109999999999995,2633.010880180027,10153496.0,35.079776763916016,-8.829187393188477,0.06695136427879333
25,0.08499999999999996,0.0807,0.0867,0.07979999999999998,2629.802443404332,10140278.0,33.822265625,-9.127643585205078,-0.2260434329509735
26,0.0837,0.07709999999999995,0.08440000000000003,0.07679999999999998,2626.730943918838,10133129.0,33.49711990356445,-9.426844596862793,-0.5234847068786621
27,0.08250000000000002,0.07689999999999997,0.08360000000000001,0.07689999999999997,2623.610591332322,10117993.0,34.70374298095703,-9.696834564208984,-0.820138692855835
28,0.08279999999999998,0.0756,0.0826,0.07640000000000002,2620.8853875279747,10111433.0,33.84331512451172,-9.970355987548828,-1.127494215965271
29,0.08240000000000003,0.07420000000000004,0.08230000000000004,0.0746,2617.9990627747356,10101403.0,36.33612823486328,-10.23609447479248,-1.4365944862365723
30,0.0817,0.07420000000000004,0.08189999999999997,0.0746,2615.3816261389074,10097044.0,31.39801597595215,-10.481809616088867,-1.7440450191497803
31,0.08109999999999995,0.07389999999999997,0.08089999999999997,0.07430000000000003,2612.93567799912,10082154.0,45.283775329589844,-10.727069854736328,-2.0548973083496094
32,0.08040000000000003,0.07179999999999997,0.08040000000000003,0.07289999999999996,2610.3827588015515,10075828.0,31.16875457763672,-10.949860572814941,-2.359457015991211
33,0.07699999999999996,0.0706,0.07720000000000005,0.07210000000000005,2607.9673045126674,10065478.0,26.860027313232422,-11.171201705932617,-2.6667888164520264
34,0.07740000000000002,0.06989999999999996,0.07679999999999998,0.07030000000000003,2605.6876223825116,10058759.0,28.139345169067383,-11.380508422851562,-2.9607558250427246
35,0.07650000000000001,0.06910000000000005,0.07620000000000005,0.06920000000000004,2603.4401661904576,10059746.0,27.49050521850586,-11.579471588134766,-3.256720542907715
36,0.07540000000000002,0.06769999999999998,0.07620000000000005,0.0675,2601.263620049751,10045034.0,35.05891036987305,-11.769752502441406,-3.5522687435150146
37,0.0756,0.06799999999999995,0.07530000000000003,0.06799999999999995,2599.1381480029186,10039204.0,31.40414047241211,-11.956094741821289,-3.84667706489563
38,0.07410000000000005,0.0676,0.07530000000000003,0.06820000000000004,2597.2236059632746,10033192.0,34.68635177612305,-12.129484176635742,-4.116520881652832
39,0.07320000000000004,0.0665,0.07479999999999998,0.06669999999999998,2595.4041370284526,10026688.0,28.640336990356445,-12.296430587768555,-4.386476516723633
40,0.07299999999999995,0.06569999999999998,0.07169999999999999,0.06420000000000003,2593.432324343629,10017459.0,35.29506301879883,-12.451481819152832,-4.653191089630127
41,0.07130000000000003,0.06510000000000005,0.07269999999999999,0.0645,2591.6917740219374,10015737.0,21.01190757751465,-12.60794734954834,-4.910235404968262
42,0.07099999999999995,0.06389999999999996,0.07130000000000003,0.06410000000000005,2589.6897622032834,10012567.0,30.719032287597656,-12.757564544677734,-5.163680076599121
43,0.07189999999999996,0.06340000000000001,0.07120000000000004,0.06259999999999999,2588.277643462275,10002226.0,29.561494827270508,-12.898696899414062,-5.395884037017822
44,0.06920000000000004,0.061799999999999966,0.06999999999999995,0.06220000000000003,2586.428859544838,9995861.0,22.859851837158203,-13.035178184509277,-5.632380485534668
45,0.06989999999999996,0.06169999999999998,0.0696,0.062000000000000055,2584.8801057235064,9997761.0,30.735885620117188,-13.163595199584961,-5.852234840393066
46,0.06889999999999996,0.06020000000000003,0.0685,0.06110000000000004,2583.354372302588,9992078.0,26.95252227783203,-13.28964614868164,-6.065317153930664
47,0.06799999999999995,0.06020000000000003,0.06830000000000003,0.06140000000000001,2581.7758689158404,9986685.0,40.44927978515625,-13.413287162780762,-6.270246982574463
48,0.06730000000000003,0.05920000000000003,0.0675,0.0605,2580.313088809745,9976592.0,20.723411560058594,-13.525294303894043,-6.4691877365112305
49,0.06599999999999995,0.05820000000000003,0.0665,0.05920000000000003,2578.906107636668,9977527.0,29.15536117553711,-13.636894226074219,-6.659015655517578
50,0.0665,0.05940000000000001,0.0665,0.05920000000000003,2577.661700392623,9965463.0,22.238330841064453,-13.742476463317871,-6.837653160095215
51,0.06559999999999999,0.05810000000000004,0.06579999999999997,0.058699999999999974,2576.3191305097125,9964159.0,17.093517303466797,-13.84809684753418,-7.008571624755859
52,0.06610000000000005,0.05879999999999996,0.06579999999999997,0.059799999999999964,2575.055033417919,9958374.0,23.520645141601562,-13.943696022033691,-7.17507266998291
53,0.06569999999999998,0.05820000000000003,0.06499999999999995,0.057499999999999996,2573.694270999841,9960745.0,25.881959915161133,-14.045101165771484,-7.337106704711914
54,0.0645,0.05740000000000001,0.06430000000000002,0.05800000000000005,2572.5255105099113,9953810.0,24.97108268737793,-14.138410568237305,-7.488128662109375
55,0.06340000000000001,0.05689999999999995,0.06440000000000001,0.05700000000000005,2571.430048403533,9957943.0,30.822982788085938,-14.230400085449219,-7.642340183258057
56,0.06230000000000002,0.056400000000000006,0.06330000000000002,0.05679999999999996,2570.1939075987048,9941827.0,25.848552703857422,-14.322185516357422,-7.780836582183838
57,0.06340000000000001,0.056499999999999995,0.061799999999999966,0.05610000000000004,2569.0284601782296,9942538.0,30.90976905822754,-14.403655052185059,-7.907393932342529
58,0.06259999999999999,0.056499999999999995,0.06230000000000002,0.05679999999999996,2567.946730513705,9939832.0,26.226696014404297,-14.477804183959961,-8.038213729858398
59,0.06269999999999998,0.05510000000000004,0.06220000000000003,0.05520000000000003,2566.8860974714294,9940632.0,19.758642196655273,-14.553136825561523,-8.161737442016602
60,0.061000000000000054,0.05479999999999996,0.06140000000000001,0.05459999999999998,2566.0051013527027,9933851.0,30.9599666595459,-14.621767044067383,-8.283602714538574
61,0.060699999999999976,0.05449999999999999,0.06140000000000001,0.05489999999999995,2564.7830894840954,9936877.0,19.98626708984375,-14.692091941833496,-8.394837379455566
62,0.061000000000000054,0.05479999999999996,0.0615,0.05510000000000004,2563.895013911642,9932511.0,43.33843231201172,-14.75660514831543,-8.501073837280273
63,0.06140000000000001,0.05369999999999997,0.06059999999999999,0.05500000000000005,2562.975275610417,9928944.0,21.44759750366211,-14.831127166748047,-8.60188102722168
64,0.059699999999999975,0.05369999999999997,0.059599999999999986,0.053200000000000025,2562.1074786954528,9922801.0,27.343416213989258,-14.894926071166992,-8.703497886657715
65,0.05889999999999995,0.05249999999999999,0.05920000000000003,0.053200000000000025,2561.1791586327136,9925470.0,34.282867431640625,-14.957134246826172,-8.801046371459961
66,0.059599999999999986,0.0524,0.059799999999999964,0.05289999999999995,2560.1812859654724,9922381.0,15.693124771118164,-15.018159866333008,-8.89714241027832
67,0.058599999999999985,0.0524,0.05840000000000001,0.05249999999999999,2559.4521128466663,9921022.0,24.07331657409668,-15.078672409057617,-8.991355895996094
